MP_Name eta e.eta f.eta Q_A p_Duese_rel p_Duese_abs p_amb H_tot M_Generator M_Lager M_mech P_hyd P_mech ku kcm n_rpm v_ME rho Masse_Aufgelegt Masse_Generator_Sensor Masse_Lager_Sensor phi psi T_Water n_ED Q_ED 
[] [%] [%] [%] [m^3/s] [Pa(r)] [Pa(a)] [Pa(a)] [m] [Nm] [Nm] [Nm] [W] [W] [-] [-] [rpm] [m/s] [kg/m^3] [kg] [kg] [kg] [-] [-] [°C] [-] [-] 
MP01 85.571431 0.176736 0.206537 0.035059 1165847.138076 1262097.815879 96250.677803 120.059833 227.303184 1.761791 229.064975 41216.729612 35269.745258 0.519931 0.686736 1470.330672 4.428355 998.593211 18.999977 4.180270 0.718666 0.276456 3.668397 19.396550 0.234051 0.009514 
MP02 86.121539 0.175046 0.203254 0.035047 1165838.514345 1262091.649605 96253.135259 120.058529 233.137481 1.762686 234.900166 41202.041458 35483.832032 0.510096 0.686504 1442.509136 4.426835 998.591003 18.999977 4.775248 0.719031 0.281692 3.811246 19.407537 0.229624 0.009511 
MP03 86.651750 0.176942 0.204199 0.035061 1165651.118303 1261906.922273 96255.803970 120.040212 239.323657 1.760867 241.084524 41211.630623 35710.599263 0.500225 0.686822 1414.487740 4.428542 998.590584 20.000139 4.405949 0.718289 0.287383 3.963110 19.409413 0.225180 0.009516 
MP04 86.957900 0.176162 0.202583 0.035060 1165802.143954 1262060.414430 96258.270477 120.055427 245.313153 1.758477 247.071630 41216.569938 35841.063701 0.489856 0.686772 1385.253934 4.428505 998.592190 20.000139 5.016754 0.717314 0.293445 4.132675 19.401595 0.220512 0.009515 
MP05 87.215143 0.175111 0.200780 0.035047 1165793.585713 1262050.521364 96256.935651 120.054019 250.990579 1.746823 252.737402 41199.910504 35932.561004 0.480100 0.686508 1357.656918 4.426776 998.590118 21.000010 4.595864 0.712560 0.299293 4.302369 19.411895 0.216121 0.009511 
MP06 87.361079 0.173262 0.198328 0.035046 1165755.463607 1262014.752626 96259.289019 120.050418 256.855719 1.756307 258.612026 41198.350561 35991.323699 0.469968 0.686515 1328.986242 4.426752 998.587583 21.999881 4.194116 0.716428 0.305748 4.489869 19.424468 0.211560 0.009511 
MP07 87.306142 0.175065 0.200519 0.035058 1165714.276928 1261975.906804 96261.629876 120.047180 262.351439 1.757546 264.108986 41211.220954 35979.927242 0.460047 0.686759 1300.913694 4.428265 998.585188 21.999881 4.754567 0.716934 0.312453 4.685580 19.436330 0.207094 0.009515 
MP08 87.129786 0.171236 0.196530 0.035034 1165545.639606 1261807.863885 96262.224279 120.028698 267.509289 1.739106 269.248395 41176.606571 35877.089162 0.450010 0.686341 1272.434569 4.425231 998.584270 23.000042 4.280400 0.709412 0.319227 4.896965 19.440700 0.202576 0.009509 
MP09 86.873827 0.171929 0.197906 0.035018 1165556.030529 1261818.399879 96262.369351 120.028798 272.586144 1.760019 274.346163 41157.109575 35754.756058 0.440142 0.686015 1244.532696 4.423132 998.584389 23.000042 4.798135 0.717943 0.326229 5.119047 19.440124 0.198134 0.009504 
MP10 86.361230 0.169331 0.196073 0.035042 1165584.290772 1261847.014581 96262.723809 120.033047 277.422483 1.760587 279.183070 41187.222843 35569.792191 0.430272 0.686480 1216.644316 4.426210 998.584606 23.999914 4.291470 0.718174 0.333939 5.356547 19.439077 0.193690 0.009511 
MP11 85.823870 0.164824 0.192050 0.035043 1165699.648249 1261964.194307 96264.546058 120.044875 282.418439 1.758309 284.176748 41192.950711 35353.384360 0.420118 0.686474 1187.992877 4.426388 998.584887 23.999914 4.800955 0.717245 0.342007 5.618590 19.437817 0.189120 0.009511 
MP12 86.152227 0.172067 0.199725 0.032063 1167662.336957 1263929.558391 96267.221434 120.082572 259.690904 1.680647 261.371550 37701.502958 32480.684327 0.419593 0.627994 1186.692613 4.049942 998.585207 21.999881 4.483247 0.685565 0.313263 5.640389 19.438463 0.188883 0.008700 
MP13 86.783094 0.172374 0.198627 0.032072 1167553.618284 1263822.217120 96268.598836 120.071911 255.160652 1.686190 256.846842 37708.805336 32724.867909 0.430213 0.628199 1216.676318 4.051085 998.585461 21.999881 4.021254 0.687827 0.305630 5.365310 19.437078 0.193664 0.008703 
MP14 87.303426 0.173534 0.198771 0.032043 1167613.474776 1263881.844356 96268.369580 120.076712 250.759463 1.668740 252.428203 37676.419068 32892.804520 0.439982 0.627623 1244.326672 4.047450 998.583878 21.000010 4.572295 0.680708 0.298570 5.129784 19.445011 0.198061 0.008695 
MP15 87.595231 0.177390 0.202510 0.032046 1167439.085052 1263708.891484 96269.806432 120.059110 245.974173 1.633413 247.607586 37673.529578 33000.215082 0.450045 0.627713 1272.694615 4.047736 998.583128 21.000010 4.084294 0.666298 0.291936 4.902922 19.448539 0.202592 0.008697 
MP16 87.899888 0.177605 0.202054 0.032056 1167409.883776 1263684.714716 96274.830941 120.056645 241.451173 1.652503 243.103676 37685.283080 33125.321536 0.460126 0.627928 1301.187728 4.049081 998.583451 20.000139 4.622912 0.674085 0.285638 4.690428 19.446917 0.207129 0.008700 
MP17 88.000933 0.180025 0.204572 0.032024 1167500.378857 1263773.630776 96273.251919 120.064253 236.334614 1.636583 237.971198 37649.182090 33131.631538 0.470124 0.627267 1329.504490 4.044948 998.582845 20.000139 4.101128 0.667591 0.279269 4.493106 19.450025 0.211630 0.008690 
MP18 87.802808 0.177741 0.202432 0.032032 1167461.435873 1263731.203683 96269.767810 120.060705 230.984532 1.618778 232.603310 37658.237869 33064.990401 0.480013 0.627446 1357.450160 4.046040 998.583024 18.999977 4.555692 0.660328 0.273593 4.309868 19.449082 0.216082 0.008693 
MP19 87.674049 0.179044 0.204216 0.032027 1167465.864315 1263735.533048 96269.668733 120.060819 225.904565 1.624572 227.529136 37651.805258 33010.862023 0.489914 0.627337 1385.451187 4.045343 998.583454 18.999977 4.037640 0.662691 0.268018 4.137431 19.446953 0.220539 0.008691 
MP20 87.263658 0.181175 0.207618 0.032051 1167404.614869 1263674.138857 96269.523988 120.055868 220.378557 1.620855 221.999413 37679.157197 32880.210926 0.500141 0.627832 1414.341065 4.048450 998.583263 18.000106 4.473972 0.661176 0.262745 3.969924 19.447829 0.225142 0.008698 
MP21 86.879102 0.179933 0.207107 0.032049 1167400.508312 1263669.286654 96268.778342 120.055396 215.093671 1.604861 216.698532 37675.863810 32732.452084 0.510073 0.627781 1442.427365 4.048115 998.582546 18.000106 3.935022 0.654651 0.257607 3.816817 19.451388 0.229614 0.008698 
MP22 86.299629 0.178801 0.207187 0.032021 1167382.489892 1263652.834554 96270.344662 120.052119 209.341374 1.597274 210.938648 37641.875387 32484.798913 0.520044 0.627241 1470.602864 4.044574 998.582349 16.999945 4.348567 0.651556 0.252451 3.671908 19.452348 0.234102 0.008690 
MP23 86.774446 0.187704 0.216312 0.029074 1168764.163149 1265034.733801 96270.570652 120.046646 191.048286 1.557614 192.605899 34175.937740 29655.980542 0.519958 0.569525 1470.327517 3.672327 998.583205 14.999912 4.483081 0.635378 0.229259 3.677628 19.449666 0.234064 0.007890 
MP24 87.388101 0.186822 0.213785 0.029076 1168721.987480 1264992.947268 96270.959788 120.042474 196.198127 1.561436 197.759563 34178.025358 29867.527444 0.510029 0.569590 1442.225469 3.672679 998.583174 16.000073 4.008098 0.636937 0.233749 3.822205 19.449771 0.229594 0.007891 
MP25 87.927337 0.187534 0.213283 0.029072 1168710.190340 1264984.612721 96274.422380 120.041109 201.299354 1.565877 202.865231 34172.379450 30046.863170 0.500181 0.569505 1414.369562 3.672116 998.582752 16.000073 4.528318 0.638749 0.238316 3.974206 19.451864 0.225161 0.007890 
MP26 88.185321 0.187273 0.212363 0.029069 1168657.199491 1264931.988787 96274.789296 120.035529 206.114032 1.573412 207.687444 34167.067612 30130.338175 0.489937 0.569457 1385.367986 3.671715 998.582907 16.000073 5.019317 0.641822 0.243278 4.142152 19.451033 0.220549 0.007889 
MP27 88.284673 0.182375 0.206576 0.029055 1168626.796552 1264903.687909 96276.891357 120.031845 210.547515 1.568973 212.116488 34149.895066 30149.123170 0.480013 0.569197 1357.286846 3.669985 998.582327 16.999945 4.471569 0.640012 0.248194 4.315211 19.453884 0.216082 0.007886 
MP28 88.488763 0.187052 0.211385 0.029051 1168601.544194 1264880.413825 96278.869631 120.029104 215.384485 1.576210 216.960696 34144.331448 30213.896430 0.470309 0.569124 1329.832839 3.669471 998.582083 18.000106 3.964679 0.642964 0.253283 4.495127 19.455068 0.211713 0.007885 
MP29 88.344282 0.184827 0.209212 0.029064 1168613.046197 1264891.013611 96277.967414 120.030856 219.913363 1.586473 221.499836 34160.322571 30178.691856 0.460131 0.569378 1301.063171 3.671135 998.582455 18.000106 4.426531 0.647150 0.259001 4.696166 19.453234 0.207132 0.007888 
MP30 88.156011 0.183060 0.207655 0.029067 1168650.010628 1264927.936285 96277.925657 120.034781 224.474766 1.576658 226.051424 34164.416916 30117.987215 0.449952 0.569418 1272.301619 3.671456 998.582207 18.000106 4.891701 0.643147 0.264879 4.911044 19.454509 0.202550 0.007889 
MP31 87.760092 0.186297 0.212280 0.029072 1169408.288548 1265693.254064 96284.965516 120.112369 228.668860 1.581668 230.250528 34192.926965 30007.743994 0.439987 0.569341 1244.526340 3.672143 998.583108 18.999977 4.319541 0.645190 0.270841 5.136025 19.450913 0.198064 0.007888 
MP32 87.323328 0.178631 0.204562 0.029077 1169472.483890 1265758.679101 96286.195211 120.119167 232.869763 1.583504 234.453266 34200.803602 29865.279850 0.430036 0.569424 1216.414765 3.672781 998.583084 18.999977 4.747946 0.645939 0.277148 5.376452 19.451103 0.193584 0.007889 
MP33 86.689250 0.174328 0.201095 0.029078 1169453.642051 1265742.044786 96288.402735 120.117361 236.988131 1.582877 238.571008 34201.345715 29648.890209 0.419555 0.569446 1186.757974 3.672897 998.582456 20.000139 4.167773 0.645683 0.284083 5.648435 19.454208 0.188866 0.007889 
MP34 87.077109 0.181953 0.208957 0.026043 1170682.753267 1266971.271096 96288.517829 120.106925 213.001779 1.512540 214.514319 30629.126971 26670.958178 0.419758 0.510036 1187.281537 3.289564 998.581368 16.999945 4.721853 0.616992 0.254322 5.649392 19.461003 0.188958 0.007066 
MP35 87.666517 0.186856 0.213145 0.026032 1170566.409290 1266853.776277 96287.366988 120.094659 209.215420 1.548502 210.763922 30613.197188 26837.523628 0.429918 0.509849 1215.955134 3.288191 998.580733 16.999945 4.335722 0.631661 0.248221 5.385563 19.464019 0.193531 0.007064 
MP36 88.171302 0.190319 0.215851 0.026029 1170643.996022 1266933.568676 96289.572654 120.102468 205.632885 1.508627 207.141512 30611.148794 26990.248427 0.439911 0.509765 1244.259946 3.287758 998.580478 16.999945 3.970377 0.615396 0.242543 5.143668 19.465376 0.198029 0.007062 
MP37 88.585055 0.193662 0.218617 0.026007 1170701.449036 1266993.058653 96291.609617 120.107388 201.856055 1.494512 203.350566 30586.669859 27095.218354 0.449845 0.509326 1272.385322 3.284994 998.580648 16.000073 4.585091 0.609638 0.236982 4.919025 19.464601 0.202502 0.007056 
MP38 88.681516 0.192997 0.217629 0.026029 1170682.124732 1266976.044682 96293.919950 120.106410 197.714537 1.492536 199.207074 30611.890987 27147.088882 0.460083 0.509753 1301.337339 3.287731 998.580000 16.000073 4.162741 0.608832 0.231903 4.702510 19.467803 0.207110 0.007062 
MP39 88.579973 0.189532 0.213967 0.026048 1170536.833015 1266834.939398 96298.106383 120.092602 193.409318 1.506174 194.915492 30631.300265 27133.197580 0.470000 0.510165 1329.309172 3.290200 998.578316 14.999912 4.723858 0.614395 0.227193 4.506136 19.475999 0.211574 0.007068 
MP40 88.637049 0.189737 0.214061 0.026021 1170579.026249 1266878.783456 96299.757207 120.096047 189.369764 1.483260 190.853024 30600.443116 27123.329896 0.479822 0.509630 1357.110914 3.286799 998.576002 14.999912 4.311907 0.605048 0.222309 4.323568 19.487522 0.215996 0.007061 
MP41 88.495251 0.195065 0.220425 0.026033 1170507.785217 1266810.737332 96302.952115 120.089358 185.263851 1.485448 186.749299 30612.045722 27090.206575 0.489781 0.509867 1385.239027 3.288231 998.575114 14.000041 4.893059 0.605940 0.217890 4.149516 19.491849 0.220479 0.007064 
MP42 88.355723 0.201152 0.227662 0.026021 1170558.572057 1266862.509614 96303.937557 120.093954 181.057389 1.473849 182.531238 30599.667518 27036.557495 0.500097 0.509631 1414.443410 3.286773 998.575967 14.000041 4.464087 0.601209 0.213296 3.980102 19.487682 0.225123 0.007061 
MP43 87.828137 0.199474 0.227119 0.026026 1170567.098301 1266869.733544 96302.635243 120.095217 176.471161 1.484296 177.955457 30605.987144 26880.668173 0.509996 0.509729 1442.447886 3.287422 998.574509 14.000041 3.996386 0.605470 0.209197 3.827092 19.494913 0.229579 0.007062 
MP44 87.206259 0.194992 0.223599 0.026030 1170641.279515 1266943.457947 96302.178432 120.102728 171.925472 1.474459 173.399931 30612.100142 26695.667301 0.519776 0.509782 1470.155401 3.287867 998.576295 12.999879 4.532981 0.601458 0.205282 3.684423 19.486143 0.233982 0.007063 
MP45 87.388899 0.206512 0.236313 0.023032 1171851.875272 1268153.405379 96301.530107 120.106434 152.335989 1.426325 153.762313 27087.354604 23671.341087 0.519746 0.451062 1470.091413 2.909198 998.578556 11.000137 4.534999 0.581823 0.181647 3.688546 19.476307 0.233968 0.006249 
MP46 88.015296 0.207509 0.235765 0.023028 1171807.610253 1268111.043110 96303.432858 120.101836 156.340816 1.434826 157.775642 27081.356991 23835.736489 0.510052 0.450989 1442.646750 2.908667 998.577890 12.000008 3.943538 0.585291 0.185069 3.830079 19.479562 0.229604 0.006248 
MP47 88.440247 0.209889 0.237323 0.023040 1171800.308443 1268108.350666 96308.042223 120.101385 160.383991 1.432501 161.816492 27096.286009 23964.022310 0.499993 0.451239 1414.191805 2.910277 998.579417 12.000008 4.355858 0.584343 0.188897 3.985729 19.471993 0.225076 0.006252 
MP48 88.725047 0.208995 0.235554 0.023045 1171801.805922 1268113.373345 96311.567423 120.102085 164.316025 1.446628 165.762653 27101.543211 24045.857030 0.489755 0.451324 1385.239778 2.910834 998.576237 12.000008 4.756845 0.590105 0.192882 4.154095 19.487771 0.220467 0.006253 
MP49 88.696460 0.208070 0.234587 0.023057 1171768.748328 1268084.691604 96315.943276 120.099294 167.760709 1.447789 169.208498 27115.679934 24050.648128 0.479883 0.451576 1357.300458 2.912423 998.575288 12.999879 4.108261 0.590579 0.196960 4.326757 19.492443 0.216023 0.006256 
MP50 88.744099 0.202783 0.228503 0.023053 1171800.120725 1268119.436615 96319.315891 120.101976 171.416759 1.448569 172.865328 27111.566423 24059.915216 0.469907 0.451491 1329.099764 2.911907 998.578362 12.999879 4.481103 0.590897 0.201103 4.512421 19.477253 0.211533 0.006255 
MP51 88.656785 0.203387 0.229409 0.023064 1171779.162419 1268101.097144 96321.934724 120.100429 175.038609 1.438961 176.477570 27123.526164 24046.846394 0.460042 0.451700 1301.187838 2.913234 998.576706 12.999879 4.850457 0.586978 0.205511 4.708014 19.485444 0.207092 0.006258 
MP52 88.535646 0.198982 0.224748 0.023045 1171802.653158 1268124.761468 96322.108310 120.101792 178.652579 1.430066 180.082645 27101.690610 23994.656769 0.449851 0.451327 1272.371885 2.910848 998.579437 14.000041 4.218845 0.583349 0.209993 4.923762 19.471931 0.202504 0.006253 
MP53 88.030588 0.199005 0.226064 0.023044 1171734.917325 1268058.483743 96323.566418 120.094928 181.605729 1.433459 183.039188 27099.366476 23855.731543 0.440035 0.451327 1244.572040 2.910767 998.578785 14.000041 4.520006 0.584733 0.214677 5.145888 19.475088 0.198085 0.006253 
MP54 87.744933 0.196582 0.224038 0.023077 1171721.161776 1268044.943967 96323.782191 120.095019 185.458895 1.469257 186.928151 27137.269961 23811.579441 0.430083 0.451959 1216.423704 2.914842 998.576406 14.000041 4.912950 0.599336 0.219953 5.386747 19.486867 0.193605 0.006262 
MP55 87.180904 0.190404 0.218401 0.023047 1171809.273969 1268133.425161 96324.151191 120.102466 188.766713 1.432908 190.199621 27104.223467 23629.707077 0.419444 0.451365 1186.369772 2.911102 998.580080 14.999912 4.250408 0.584509 0.225235 5.663531 19.468750 0.188816 0.006253 
MP56 87.026016 0.203912 0.234311 0.020046 1173066.516012 1269396.372073 96329.856061 120.126343 163.790815 1.388622 165.179437 23579.397413 20520.210150 0.419380 0.392552 1186.307305 2.532033 998.574329 12.000008 4.703284 0.566444 0.195917 5.670237 19.498696 0.188787 0.005439 
MP57 87.621341 0.206735 0.235941 0.020028 1172978.431457 1269307.261334 96328.829877 120.116407 160.655906 1.404853 162.060759 23556.618494 20640.624904 0.429977 0.392220 1216.231805 2.529788 998.577334 12.000008 4.383588 0.573064 0.190927 5.394224 19.483702 0.193557 0.005434 
MP58 87.891129 0.216930 0.246816 0.020033 1173015.898684 1269345.227180 96329.328497 120.120093 157.540200 1.389119 158.929319 23563.177603 20709.942821 0.439914 0.392310 1244.360620 2.530408 998.579839 12.000008 4.065850 0.566646 0.186657 5.153259 19.471329 0.198031 0.005435 
MP59 88.180377 0.213031 0.241585 0.020033 1172966.470100 1269294.816526 96328.346425 120.115780 154.554185 1.392054 155.946239 23561.817006 20776.899065 0.449787 0.392311 1272.263907 2.530369 998.573631 11.000137 4.761209 0.567843 0.182560 4.929518 19.502036 0.202475 0.005435 
MP60 88.454297 0.213918 0.241841 0.020039 1173068.859224 1269397.452496 96328.593271 120.126244 151.621275 1.397717 153.018992 23571.097014 20849.648200 0.459976 0.392413 1301.142239 2.531141 998.575227 11.000137 4.462113 0.570154 0.178563 4.713533 19.494246 0.207062 0.005437 
MP61 88.592858 0.217757 0.245795 0.020023 1172904.972186 1269236.908146 96331.935960 120.108652 148.488671 1.394312 149.882982 23549.538185 20863.209035 0.469940 0.392140 1329.230095 2.529189 998.578161 9.999975 5.142814 0.568764 0.174655 4.515791 19.479528 0.211547 0.005433 
MP62 88.606674 0.217218 0.245148 0.020029 1172991.079357 1269328.101439 96337.022082 120.117693 145.478939 1.378228 146.857168 23557.486374 20873.505265 0.479841 0.392228 1357.286783 2.529854 998.577522 9.999975 4.835883 0.562204 0.171089 4.331348 19.482803 0.216005 0.005434 
MP63 88.406460 0.223777 0.253123 0.020046 1173003.212776 1269340.270845 96337.058069 120.120016 142.285686 1.393250 143.678936 23578.722359 20845.113765 0.489784 0.392572 1385.423493 2.532096 998.573313 9.999975 4.510237 0.568331 0.167763 4.157263 19.503671 0.220480 0.005439 
MP64 88.077539 0.226209 0.256829 0.020054 1173008.852853 1269344.816401 96335.963547 120.120557 138.897053 1.384914 140.281967 23588.268632 20775.966561 0.499979 0.392727 1414.264929 2.533103 998.575772 9.999975 4.164666 0.564931 0.164407 3.989441 19.491495 0.225070 0.005441 
MP65 87.866593 0.221572 0.252169 0.020017 1172976.627192 1269311.223709 96334.596517 120.115879 135.572022 1.385205 136.957226 23543.276341 20686.674792 0.509925 0.392000 1442.371447 2.528367 998.577149 9.000104 4.825452 0.565049 0.160902 3.835366 19.484632 0.229547 0.005431 
MP66 87.179143 0.221029 0.253534 0.020043 1172999.358154 1269333.291227 96333.933072 120.119442 132.120788 1.379897 133.500685 23574.554788 20552.094918 0.519717 0.392505 1470.090206 2.531659 998.573876 9.000104 4.473497 0.562884 0.158074 3.692181 19.500871 0.233955 0.005438 
MP67 86.767471 0.248770 0.286709 0.017016 1173409.215148 1269745.267826 96336.052678 120.070025 111.394382 1.338603 112.732985 20006.438966 17359.081183 0.519947 0.333303 1470.439324 2.149365 998.574099 7.000071 4.359864 0.546040 0.134172 3.691717 19.500236 0.234059 0.004618 
MP68 87.290389 0.241597 0.276774 0.017023 1173408.566667 1269746.525115 96337.958448 120.070219 114.325225 1.339732 115.664957 20014.539794 17470.769693 0.510027 0.333437 1442.386408 2.150233 998.573516 7.000071 4.658749 0.546500 0.136837 3.836713 19.503125 0.229593 0.004620 
MP69 87.739487 0.251419 0.286552 0.017021 1173436.178301 1269777.547035 96341.368734 120.073064 117.213316 1.343285 118.556602 20012.406241 17558.782530 0.500088 0.333390 1414.295112 2.149954 998.572793 7.999943 3.953403 0.547950 0.139537 3.990736 19.506747 0.225119 0.004619 
MP70 87.912608 0.244402 0.278006 0.017027 1173452.793491 1269795.046607 96342.253116 120.075082 120.002708 1.335128 121.337836 20020.167767 17600.251635 0.489776 0.333512 1385.141090 2.150755 998.571578 7.999943 4.237864 0.544622 0.142527 4.160560 19.512782 0.220476 0.004621 
MP71 88.202982 0.237550 0.269322 0.017023 1173541.363999 1269887.517727 96346.153728 120.084054 122.857997 1.333562 124.191559 20016.030610 17654.735852 0.479985 0.333405 1357.502155 2.150151 998.571085 7.999943 4.529044 0.543984 0.145388 4.332033 19.515329 0.216069 0.004619 
MP72 88.238594 0.234739 0.266027 0.017011 1173473.669049 1269823.543634 96349.874585 120.076937 125.459136 1.340360 126.799496 20000.960194 17648.566021 0.469962 0.333184 1329.117206 2.148661 998.570060 7.999943 4.794307 0.546756 0.148390 4.518784 19.520332 0.211557 0.004616 
MP73 88.151223 0.241262 0.273691 0.017023 1173432.082632 1269786.011879 96353.929247 120.072888 128.122999 1.329827 129.452825 20014.052592 17642.632065 0.460183 0.333419 1301.437226 2.150138 998.571115 9.000104 4.065805 0.542460 0.151650 4.712874 19.515073 0.207155 0.004619 
MP74 87.909278 0.242214 0.275527 0.017016 1173394.242492 1269753.753826 96359.511334 120.069140 130.650081 1.336701 131.986783 20005.953197 17587.089038 0.449934 0.333301 1272.432934 2.149340 998.568686 9.000104 4.323516 0.545264 0.155049 4.930030 19.527059 0.202541 0.004618 
MP75 87.592331 0.233453 0.266522 0.017023 1173486.395041 1269849.068254 96362.673213 120.078712 133.216455 1.326290 134.542744 20015.807559 17532.312505 0.439994 0.333425 1244.372210 2.150227 998.568959 9.000104 4.585233 0.541017 0.158611 5.155286 19.525823 0.198067 0.004619 
MP76 87.122539 0.226178 0.259610 0.017024 1173462.499373 1269828.842957 96366.343584 120.076010 135.587831 1.325778 136.913610 20016.784727 17439.131140 0.430082 0.333451 1216.324921 2.150375 998.571416 9.999975 3.827193 0.540808 0.162280 5.395656 19.513648 0.193605 0.004620 
MP77 86.817254 0.223017 0.256881 0.017012 1173431.557875 1269800.201538 96368.643663 120.072306 138.411221 1.305540 139.716761 20001.430396 17364.692703 0.419661 0.333211 1186.833989 2.148788 998.573050 9.999975 4.115121 0.532553 0.166189 5.666976 19.505530 0.188914 0.004616 
MP78 86.203736 0.246018 0.285392 0.013988 1174236.321171 1270608.384001 96372.062830 120.077968 112.743807 1.253041 113.996848 16446.694989 14177.665512 0.419934 0.273971 1187.635754 1.766810 998.575217 7.000071 4.497477 0.511138 0.136554 5.663196 19.495716 0.189037 0.003796 
MP79 86.535288 0.255143 0.294843 0.013991 1174237.323868 1270611.233891 96373.910023 120.078504 110.498169 1.266530 111.764699 16450.536030 14235.518743 0.430068 0.274034 1216.298099 1.767220 998.572221 7.000071 4.268468 0.516640 0.133367 5.399452 19.510556 0.193599 0.003797 
MP80 86.848402 0.265211 0.305372 0.013991 1174310.342150 1270688.166696 96377.824546 120.086075 108.393290 1.257456 109.650747 16451.505119 14287.869251 0.439957 0.274024 1244.306174 1.767214 998.571264 5.999910 5.053975 0.512939 0.130365 5.159441 19.515385 0.198050 0.003796 
MP81 87.045212 0.264328 0.303667 0.014004 1174175.214756 1270555.387249 96380.172493 120.072909 106.279490 1.280503 107.559994 16465.279675 14332.237624 0.449927 0.274300 1272.432090 1.768893 998.568510 5.999910 4.838411 0.522340 0.127604 4.933319 19.528863 0.202538 0.003800 
MP82 87.282240 0.271150 0.310659 0.013989 1174148.421662 1270529.732326 96381.310663 120.070154 104.073874 1.265728 105.339602 16446.670379 14355.022270 0.460146 0.274000 1301.318423 1.766939 998.565728 5.999910 4.613483 0.516313 0.124634 4.716638 19.542584 0.207138 0.003796 
MP83 87.115424 0.267255 0.306782 0.013999 1174191.845324 1270574.464793 96382.619470 120.074805 101.738903 1.274152 103.013056 16459.790559 14339.016353 0.470005 0.274203 1329.224914 1.768279 998.565942 5.999910 4.375364 0.519749 0.122110 4.520836 19.541578 0.211576 0.003799 
MP84 87.031556 0.265631 0.305212 0.014016 1174169.775233 1270554.800069 96385.024836 120.072492 99.609062 1.291777 100.900839 16478.785198 14341.743115 0.479939 0.274526 1357.308424 1.770348 998.569542 5.999910 4.158164 0.526939 0.119723 4.335596 19.523763 0.216049 0.003803 
