MP_Name eta e.eta f.eta Q_A p_Duese_rel p_Duese_abs p_amb H_tot M_Generator M_Lager M_mech P_hyd P_mech ku kcm n_rpm v_ME rho Masse_Aufgelegt Masse_Generator_Sensor Masse_Lager_Sensor phi psi T_Water n_ED Q_ED 
[] [%] [%] [%] [m^3/s] [Pa(r)] [Pa(a)] [Pa(a)] [m] [Nm] [Nm] [Nm] [W] [W] [-] [-] [rpm] [m/s] [kg/m^3] [kg] [kg] [kg] [-] [-] [°C] [-] [-] 
MP01 84.446283 0.161411 0.191140 0.035032 1167052.417600 1262078.378039 95025.960439 120.149545 224.227512 1.919760 226.147272 41227.122587 34814.772435 0.519651 0.685957 1470.088868 4.424981 998.860158 18.999977 3.866615 0.783104 0.276291 3.672416 18.014988 0.233925 0.009504 
MP02 84.803142 0.160202 0.188911 0.035060 1166993.815168 1262017.448135 95023.632967 120.145350 229.624937 2.028913 231.653850 41258.634352 34988.618234 0.509841 0.686518 1442.310122 4.428525 998.858580 18.999977 4.417041 0.827629 0.281838 3.815053 18.023391 0.229509 0.009511 
MP03 85.172594 0.165003 0.193728 0.035050 1166954.725016 1261978.554809 95023.829793 120.140697 235.097110 2.098699 237.195810 41245.290611 35129.683846 0.499946 0.686336 1414.290456 4.427261 998.859346 20.000139 3.974928 0.856097 0.287340 3.967581 18.019226 0.225055 0.009509 
MP04 85.553665 0.160343 0.187418 0.035020 1166911.901013 1261939.024040 95027.123027 120.134414 240.911436 2.112500 243.023937 41207.185022 35254.257000 0.489700 0.685754 1385.268302 4.423396 998.860737 20.000139 4.567870 0.861726 0.293104 4.135411 18.011702 0.220442 0.009501 
MP05 85.739081 0.160128 0.186762 0.035030 1166877.950973 1261896.353385 95018.402411 120.131964 246.502120 2.112121 248.614241 41218.773883 35340.598083 0.479866 0.685971 1357.435725 4.424745 998.857320 21.000010 4.138133 0.861571 0.299205 4.306622 18.030009 0.216015 0.009504 
MP06 85.676999 0.160878 0.187773 0.035046 1166825.729761 1261837.426718 95011.696956 120.127317 251.630355 2.110992 253.741347 41235.105793 35329.001139 0.470024 0.686281 1329.570897 4.426663 998.858839 21.999881 3.661237 0.861111 0.305608 4.488821 18.021763 0.211585 0.009508 
MP07 85.555079 0.158318 0.185048 0.035054 1166890.119874 1261902.285300 95012.165426 120.134550 256.899458 2.099902 258.999360 41246.862527 35288.786026 0.459944 0.686416 1301.096203 4.427666 998.857112 21.999881 4.198577 0.856587 0.312367 4.687714 18.031125 0.207048 0.009510 
MP08 85.349047 0.159874 0.187318 0.035035 1166720.913698 1261738.028389 95017.114690 120.116561 261.961734 2.094502 264.056236 41219.147919 35180.149812 0.449781 0.686111 1272.250523 4.425366 998.854392 23.000042 3.714664 0.854384 0.319283 4.901995 18.045535 0.202472 0.009506 
MP09 85.040839 0.156717 0.184285 0.035053 1166719.899629 1261735.732042 95015.832412 120.117450 267.060275 2.087103 269.147378 41240.061750 35070.894446 0.439901 0.686451 1244.308509 4.427578 998.854441 23.000042 4.234610 0.851366 0.326616 5.124619 18.045266 0.198025 0.009510 
MP10 84.646955 0.160267 0.189336 0.035060 1166660.403973 1261672.175515 95011.771541 120.111678 272.062144 2.085502 274.147646 41247.012194 34914.339700 0.429960 0.686616 1216.159940 4.428532 998.855519 23.999914 3.744826 0.850713 0.334248 5.364309 18.039397 0.193550 0.009513 
MP11 84.175961 0.152045 0.180627 0.035046 1166662.251880 1261675.770469 95013.518589 120.111171 277.281843 2.073922 279.355765 41229.817869 34705.595457 0.419422 0.686335 1186.351117 4.426710 998.854452 23.999914 4.277128 0.845989 0.342505 5.637283 18.045131 0.188806 0.009509 
MP12 84.746244 0.156746 0.184960 0.032060 1168456.015843 1263464.767377 95008.751534 120.131293 255.083870 1.973988 257.057858 37723.491053 31969.241938 0.419831 0.627808 1187.607240 4.049568 998.854563 21.999881 4.013424 0.805224 0.312993 5.634012 18.046737 0.188990 0.008698 
MP13 85.229618 0.161219 0.189158 0.032045 1168546.743516 1263557.997382 95011.253866 120.139740 250.334673 1.971736 252.306408 37708.569989 32138.870234 0.429992 0.627494 1216.392426 4.047680 998.854867 21.999881 3.529104 0.804306 0.305444 5.370932 18.045224 0.193564 0.008694 
MP14 85.635201 0.162962 0.190298 0.032036 1168376.521099 1263389.800051 95013.278952 120.122020 245.771230 1.947884 247.719113 37691.870892 32277.509357 0.439876 0.627355 1244.262123 4.046490 998.853612 21.000010 4.063598 0.794576 0.298515 5.132283 18.051756 0.198014 0.008692 
MP15 85.839412 0.161712 0.188389 0.032049 1168463.546444 1263481.230681 95017.684237 120.131401 241.035671 1.934491 242.970161 37710.220796 32370.231654 0.449744 0.627586 1272.225944 4.048137 998.855147 21.000010 3.580668 0.789113 0.292072 4.909503 18.043633 0.202456 0.008695 
MP16 86.245892 0.166666 0.193245 0.032014 1168522.639305 1263540.754542 95018.115237 120.135996 236.423776 1.920192 238.343968 37669.986950 32488.816270 0.460144 0.626883 1301.670628 4.043677 998.851783 20.000139 4.110221 0.783280 0.285151 4.690155 18.061758 0.207138 0.008685 
MP17 86.191650 0.161534 0.187413 0.032058 1168340.399792 1263358.989577 95018.589784 120.119710 231.658227 1.915168 233.573396 37717.635863 32509.452766 0.469873 0.627803 1329.100027 4.049341 998.851925 20.000139 3.624233 0.781231 0.279657 4.497864 18.060773 0.211517 0.008698 
MP18 86.122386 0.164454 0.190954 0.032038 1168372.041107 1263391.409046 95019.367939 120.122053 226.511897 1.910685 228.422582 37694.863247 32463.715776 0.479787 0.627407 1357.158506 4.046822 998.850647 18.999977 4.099575 0.779402 0.273705 4.313927 18.067664 0.215980 0.008692 
MP19 86.003009 0.169689 0.197306 0.032022 1168238.393889 1263250.035184 95011.641296 120.107263 221.423440 1.902648 223.326088 37671.287940 32398.441199 0.489780 0.627129 1385.338933 4.044779 998.853179 18.999977 3.580657 0.776124 0.268002 4.139721 18.053904 0.220478 0.008688 
MP20 85.733503 0.171292 0.199796 0.032057 1168237.982024 1263248.427137 95010.445113 120.109086 216.403741 1.906899 218.310639 37712.777851 32332.485694 0.500008 0.627805 1414.280570 4.049174 998.852752 18.000106 4.068622 0.777858 0.262803 3.972026 18.056192 0.225083 0.008698 
MP21 85.348164 0.166763 0.195391 0.032061 1168250.461742 1263261.407769 95010.946027 120.110821 211.218525 1.901385 213.119910 37718.465805 32192.017936 0.509958 0.627888 1442.432697 4.049734 998.850826 18.000106 3.539837 0.775609 0.257709 3.818542 18.066536 0.229562 0.008699 
MP22 84.954408 0.171179 0.201495 0.032034 1168253.460256 1263260.571967 95007.111711 120.109929 206.028720 1.890956 207.919676 37686.183676 32016.074414 0.519857 0.627358 1470.428370 4.046305 998.849012 16.999945 4.010744 0.771354 0.252589 3.674539 18.076252 0.234018 0.008692 
MP23 85.406433 0.176141 0.206238 0.029038 1169515.358424 1264517.279765 95001.921341 120.089948 187.682307 1.810881 189.493188 34155.181487 29170.722306 0.519758 0.568720 1470.025822 3.667799 998.848472 14.999912 4.139821 0.738690 0.229023 3.680525 18.080688 0.233973 0.007879 
MP24 86.030596 0.175084 0.203513 0.029042 1169470.814708 1264468.211746 94997.397037 120.085504 192.760772 1.807228 194.568000 34159.228774 29387.388229 0.509971 0.568819 1442.317780 3.668366 998.849377 16.000073 3.657559 0.737200 0.233459 3.823146 18.075770 0.229567 0.007881 
MP25 86.336186 0.172927 0.200295 0.029046 1169313.214195 1264308.721745 94995.507550 120.069817 197.287712 1.821961 199.109673 34159.452076 29491.968054 0.500144 0.568935 1414.434295 3.668876 998.847597 16.000073 4.119214 0.743210 0.238095 3.974838 18.085107 0.225144 0.007882 
MP26 86.533682 0.172703 0.199579 0.029049 1170153.987942 1265142.990359 94989.002417 120.156017 202.143187 1.789307 203.932493 34187.206480 29583.448503 0.489655 0.568786 1385.267836 3.669230 998.845696 16.000073 4.614372 0.729890 0.243131 4.146966 18.096305 0.220422 0.007880 
MP27 86.748554 0.171438 0.197626 0.029033 1170320.099649 1265309.534727 94989.435078 120.172299 206.753697 1.789077 208.542774 34173.160667 29644.722797 0.479790 0.568437 1357.449337 3.667228 998.845097 16.999945 4.084677 0.729796 0.247978 4.319293 18.099715 0.215981 0.007875 
MP28 86.800598 0.176219 0.203016 0.029044 1170124.485188 1265110.855669 94986.370481 120.152786 211.308387 1.790465 213.098852 34180.466778 29668.849484 0.469952 0.568697 1329.508068 3.668606 998.845575 18.000106 3.549001 0.730362 0.253285 4.501996 18.096909 0.211553 0.007879 
MP29 86.693680 0.167620 0.193348 0.029049 1170153.992210 1265138.416989 94984.424779 120.156055 215.728989 1.786316 217.515305 34186.799727 29637.794680 0.459922 0.568779 1301.150243 3.669187 998.845249 18.000106 3.999811 0.728670 0.258846 4.700492 18.098686 0.207038 0.007880 
MP30 86.369357 0.168803 0.195444 0.029059 1170056.813521 1265040.440974 94983.627453 120.146526 219.888026 1.785770 221.673796 34195.793610 29534.686926 0.449742 0.568996 1272.299613 3.670441 998.845885 18.000106 4.423947 0.728447 0.264806 4.915674 18.095158 0.202455 0.007883 
MP31 86.056547 0.174094 0.202302 0.029065 1170095.976885 1265077.231149 94981.254264 120.151199 224.101052 1.787839 225.888891 34204.091803 29434.860386 0.439849 0.569103 1244.338359 3.671201 998.842624 18.999977 3.853718 0.729291 0.270813 5.139263 18.112647 0.198002 0.007885 
MP32 85.817985 0.170663 0.198866 0.029035 1170077.654235 1265056.889653 94979.235418 120.147870 228.435805 1.790489 230.226294 34168.028238 29322.313389 0.429919 0.568526 1216.227140 3.667430 998.843018 18.999977 4.295774 0.730372 0.276787 5.379494 18.110514 0.193531 0.007877 
MP33 85.326771 0.166268 0.194861 0.029037 1170128.715863 1265107.722370 94979.006507 120.153252 232.741880 1.781697 234.523577 34171.789407 29157.684471 0.419662 0.568551 1187.238316 3.667672 998.842367 20.000139 3.734743 0.726786 0.283564 5.645654 18.114055 0.188914 0.007877 
