MP_Name eta e.eta f.eta Q_A p_Duese_rel p_Duese_abs p_amb H_tot M_Generator M_Lager M_mech P_hyd P_mech ku kcm n_rpm v_ME rho Masse_Aufgelegt Masse_Generator_Sensor Masse_Lager_Sensor phi psi T_Water n_ED Q_ED 
[] [%] [%] [%] [m^3/s] [Pa(r)] [Pa(a)] [Pa(a)] [m] [Nm] [Nm] [Nm] [W] [W] [-] [-] [rpm] [m/s] [kg/m^3] [kg] [kg] [kg] [-] [-] [°C] [-] [-] 
MP01 82.902631 0.159554 0.192460 0.035078 1166964.673391 1263288.301869 96323.628478 120.167395 220.354080 1.884919 222.238999 41278.444946 34220.916698 0.519731 0.686797 1470.424560 4.430732 998.657215 18.499896 3.971685 0.768892 0.276587 3.671209 19.076566 0.233961 0.009515 
MP02 83.200122 0.161498 0.194107 0.035105 1166908.237489 1263233.463423 96325.225934 120.162997 225.511018 1.977245 227.488263 41308.703469 34368.891626 0.509944 0.687338 1442.706252 4.434136 998.658666 18.499896 4.497587 0.806553 0.282118 3.813442 19.069153 0.229555 0.009523 
MP03 83.483354 0.162571 0.194735 0.035083 1166920.132270 1263247.420468 96327.288198 120.163129 230.542752 2.139890 232.682642 41283.262593 34464.652256 0.499949 0.686914 1414.429470 4.431406 998.657395 19.500058 4.010558 0.872899 0.287580 3.967486 19.075611 0.225056 0.009517 
MP04 83.741260 0.158867 0.189711 0.035077 1166743.399321 1263071.245574 96327.846253 120.145189 236.074768 2.152585 238.227353 41270.134306 34560.130512 0.489702 0.686852 1385.336034 4.430674 998.653726 19.500058 4.574710 0.878077 0.293571 4.135267 19.093988 0.220443 0.009516 
MP05 83.938257 0.154365 0.183903 0.035061 1166773.406895 1263100.646003 96327.239108 120.147228 241.428106 2.146235 243.574341 41251.031972 34625.397318 0.479852 0.686516 1357.483663 4.428546 998.654261 20.499929 4.120769 0.875487 0.299451 4.306808 19.091310 0.216009 0.009511 
MP06 83.935736 0.155896 0.185733 0.035070 1166755.378787 1263080.319316 96324.940530 120.145910 246.665089 2.129694 248.794784 41261.269914 34632.950398 0.469888 0.686698 1329.289586 4.429694 998.654228 21.500091 3.654672 0.868740 0.305882 4.491370 19.091454 0.211524 0.009514 
MP07 83.836888 0.156688 0.186896 0.035070 1166755.294102 1263079.565198 96324.271097 120.146392 251.761841 2.109597 253.871438 41261.801651 34592.610399 0.459955 0.686705 1301.190472 4.429750 998.650326 21.500091 4.174436 0.860542 0.312491 4.687464 19.111188 0.207052 0.009514 
MP08 83.589973 0.157198 0.188059 0.035104 1166655.201723 1262980.514246 96325.312523 120.137930 256.970199 2.102588 259.072787 41298.542467 34521.440588 0.449809 0.687388 1272.443466 4.434001 998.651687 22.499962 3.705710 0.857683 0.319857 4.901227 19.104192 0.202485 0.009523 
MP09 83.468433 0.159519 0.191113 0.035074 1166710.635684 1263037.283636 96326.647952 120.142088 262.149610 2.096455 264.246065 41264.552320 34442.875092 0.439991 0.686788 1244.693009 4.430206 998.649906 22.499962 4.233903 0.855181 0.326709 5.122462 19.113265 0.198066 0.009515 
MP10 83.138221 0.154575 0.185926 0.035089 1166624.714982 1262953.192659 96328.477677 120.134271 267.354644 2.083942 269.438587 41279.600979 34319.125994 0.429976 0.687106 1216.319892 4.432114 998.649108 23.500123 3.764549 0.850077 0.334474 5.363842 19.117203 0.193557 0.009519 
MP11 82.847230 0.150230 0.181333 0.035053 1166561.427510 1262888.557950 96327.130440 120.125482 272.700976 2.075102 274.776078 41234.867588 34161.945401 0.419708 0.686435 1187.230528 4.427624 998.651601 23.500123 4.309765 0.846471 0.342322 5.629591 19.104525 0.188935 0.009510 
MP12 83.481650 0.152502 0.182677 0.032035 1168394.019046 1264718.300937 96324.281891 120.147922 251.109471 2.002671 253.112142 37691.141219 31465.186625 0.419624 0.627268 1187.103855 4.046359 998.651264 21.500091 4.107907 0.816925 0.312878 5.639640 19.108344 0.188897 0.008690 
MP13 83.821452 0.161976 0.193240 0.032029 1168430.497894 1264752.620294 96322.122400 120.151333 246.036529 1.995080 248.031609 37685.628433 31588.640941 0.429893 0.627149 1216.172819 4.045651 998.651453 21.500091 3.590572 0.813828 0.305346 5.373432 19.107427 0.193520 0.008689 
MP14 84.108170 0.165090 0.196283 0.032046 1168351.509473 1264670.256421 96318.746947 120.144428 241.287473 1.993053 243.280526 37702.786443 31711.123667 0.440001 0.627490 1244.731462 4.047736 998.648940 20.499929 4.106428 0.813002 0.298494 5.129354 19.120028 0.198070 0.008693 
MP15 84.319772 0.159735 0.189439 0.032020 1168421.718149 1264740.536510 96318.818361 120.150528 236.450356 1.967274 238.417630 37674.879900 31767.372790 0.449760 0.626979 1272.372618 4.044543 998.646861 20.499929 3.613141 0.802486 0.291779 4.909219 19.130614 0.202463 0.008686 
MP16 84.481755 0.166040 0.196540 0.032051 1168340.243323 1264657.540525 96317.297202 120.143806 231.819568 1.938879 233.758447 37708.796510 31857.053197 0.460033 0.627596 1301.396605 4.048411 998.646842 19.500058 4.140767 0.790903 0.285545 4.692361 19.130612 0.207087 0.008695 
MP17 84.662285 0.160835 0.189972 0.032030 1168350.674684 1264665.938834 96315.264150 120.143499 227.240621 1.921767 229.162389 37683.590240 31903.788476 0.469948 0.627178 1329.444766 4.045706 998.648990 19.500058 3.673809 0.783923 0.279334 4.496485 19.119769 0.211551 0.008689 
MP18 84.571425 0.164133 0.194076 0.032026 1168207.977777 1264524.480890 96316.503113 120.129204 222.256414 1.907939 224.164353 37674.876817 31862.180236 0.479828 0.627147 1357.313975 4.045268 998.645154 18.499896 4.165684 0.778282 0.273569 4.313221 19.138980 0.215998 0.008689 
MP19 84.339969 0.166446 0.197351 0.032047 1168275.792497 1264590.460722 96314.668225 120.137247 217.301128 1.897062 219.198190 37701.746940 31797.641769 0.489689 0.627532 1385.253738 4.047883 998.644828 18.499896 3.660347 0.773845 0.268224 4.141227 19.140699 0.220437 0.008694 
MP20 84.234176 0.167660 0.199041 0.032018 1168254.375525 1264568.222609 96313.847084 120.133559 212.322834 1.882475 214.205309 37666.132951 31727.756605 0.500009 0.626968 1414.426928 4.044184 998.644623 17.500025 4.152535 0.767895 0.262452 3.972087 19.141709 0.225083 0.008686 
MP21 83.903665 0.165345 0.197065 0.032055 1168227.676867 1264540.338926 96312.662059 120.133029 207.588415 1.904696 209.493111 37709.704835 31639.824534 0.509840 0.627699 1442.233910 4.048889 998.642486 17.500025 3.669721 0.776959 0.257691 3.820317 19.152458 0.229509 0.008696 
