MP_Name eta e.eta f.eta Q_A p_Duese_rel p_Duese_abs p_amb H_tot M_Generator M_Lager M_mech P_hyd P_mech ku kcm n_rpm v_ME rho Masse_Aufgelegt Masse_Generator_Sensor Masse_Lager_Sensor phi psi T_Water n_ED Q_ED 
[] [%] [%] [%] [m^3/s] [Pa(r)] [Pa(a)] [Pa(a)] [m] [Nm] [Nm] [Nm] [W] [W] [-] [-] [rpm] [m/s] [kg/m^3] [kg] [kg] [kg] [-] [-] [°C] [-] [-] 
MP01 85.815528 0.174241 0.203041 0.035075 1166449.524121 1264456.991671 98007.467550 120.122916 228.066432 1.874730 229.941162 41257.506890 35405.347477 0.519805 0.686878 1470.359465 4.430432 998.587946 18.999977 4.258106 0.764735 0.276581 3.670168 19.427432 0.233994 0.009516 
MP02 86.422727 0.175720 0.203326 0.035046 1166313.652445 1264328.298940 98014.646495 120.107341 233.924772 1.910260 235.835032 41218.006137 35621.725015 0.509944 0.686354 1442.374417 4.426762 998.588303 18.999977 4.855536 0.779229 0.281713 3.813522 19.425519 0.229556 0.009509 
MP03 86.948279 0.181078 0.208259 0.035067 1166379.227125 1264396.569177 98017.342052 120.115433 240.211216 1.904102 242.115318 41245.196132 35861.988185 0.500050 0.686738 1414.436576 4.429392 998.586559 20.000139 4.496462 0.776717 0.287448 3.965888 19.434267 0.225102 0.009514 
MP04 87.271541 0.176714 0.202487 0.035038 1166313.440743 1264331.835623 98018.394881 120.107070 245.994266 1.909015 247.903281 41207.561023 35962.473539 0.489761 0.686183 1385.283505 4.425660 998.586219 20.000139 5.086214 0.778721 0.293250 4.134336 19.435886 0.220470 0.009507 
MP05 87.441728 0.171844 0.196524 0.035071 1166209.446446 1264230.757958 98021.311512 120.098309 251.844019 1.903546 253.747564 41244.324564 36064.750267 0.479859 0.686870 1357.226807 4.429929 998.586791 21.000010 4.682897 0.776490 0.299601 4.306647 19.432933 0.216012 0.009516 
MP06 87.566129 0.172703 0.197225 0.035081 1166215.891819 1264238.217898 98022.326079 120.099691 257.702051 1.898524 259.600575 41256.470871 36126.694400 0.469843 0.687062 1328.905069 4.431188 998.585494 21.999881 4.280425 0.774441 0.306073 4.492201 19.439385 0.211504 0.009519 
MP07 87.684166 0.174895 0.199461 0.035041 1166046.581364 1264072.970306 98026.388943 120.080254 263.316057 1.897867 265.213924 41202.515083 36128.081750 0.459953 0.686331 1300.828261 4.426114 998.584282 21.999881 4.852938 0.774174 0.312321 4.687536 19.445221 0.207052 0.009509 
MP08 87.473108 0.175672 0.200830 0.035026 1166159.689432 1264189.938192 98030.248760 120.090983 268.479239 1.894502 270.373741 41187.929791 36028.362232 0.449910 0.685996 1272.481254 4.424155 998.583757 23.000042 4.379315 0.772801 0.319138 4.899188 19.447969 0.202531 0.009504 
MP09 87.001935 0.171788 0.197454 0.035055 1166020.087358 1264051.314004 98031.226645 120.078465 273.322038 1.893815 275.215853 41218.132631 35860.572882 0.439959 0.686607 1244.271515 4.427863 998.583211 23.000042 4.873181 0.772521 0.326647 5.123241 19.450521 0.198051 0.009513 
MP10 86.625769 0.177748 0.205191 0.035024 1166055.414133 1264088.369191 98032.955057 120.080400 278.119166 1.904228 280.023393 41182.421031 35674.589015 0.430160 0.685996 1216.567041 4.423959 998.582464 23.999914 4.362517 0.776768 0.333791 5.359404 19.454276 0.193640 0.009504 
MP11 85.876072 0.167354 0.194878 0.035064 1166034.016398 1264068.940505 98034.924108 120.080462 283.119339 1.887258 285.006597 41229.226011 35406.040003 0.419457 0.686775 1186.298071 4.428983 998.582640 23.999914 4.872432 0.769846 0.342696 5.636285 19.453383 0.188822 0.009515 
MP12 86.525836 0.171915 0.198686 0.032060 1167912.496953 1265951.300979 98038.804026 120.108066 260.434213 1.834149 262.268362 37705.491542 32624.991729 0.419971 0.627861 1187.889076 4.049515 998.584176 21.999881 4.559049 0.748182 0.312915 5.630244 19.447895 0.189053 0.008699 
MP13 87.104799 0.178025 0.204380 0.032050 1168050.193485 1266094.876472 98044.682988 120.121627 255.928835 1.848194 257.777029 37698.025816 32836.789570 0.430038 0.627630 1216.432060 4.048256 998.584024 21.999881 4.099593 0.753911 0.305478 5.369756 19.448818 0.193585 0.008695 
MP14 87.596409 0.178191 0.203422 0.032028 1167859.087207 1265904.809124 98045.721917 120.100995 251.330606 1.835803 253.166409 37665.881464 32993.959766 0.440003 0.627257 1244.513867 4.045500 998.583835 21.000010 4.630540 0.748857 0.298381 5.129320 19.449544 0.198071 0.008690 
MP15 87.957259 0.176153 0.200271 0.032045 1168140.597582 1266191.258572 98050.660990 120.130661 246.993783 1.828033 248.821817 37695.050729 33155.533372 0.449823 0.627510 1272.444780 4.047635 998.583532 21.000010 4.188273 0.745687 0.291986 4.907792 19.451381 0.202491 0.008694 
MP16 88.198705 0.179278 0.203266 0.032046 1167991.417374 1266043.088625 98051.671251 120.115558 242.145800 1.826240 243.972040 37691.946353 33243.808634 0.460015 0.627577 1301.194140 4.047812 998.583043 20.000139 4.693749 0.744955 0.285547 4.692720 19.453641 0.207080 0.008695 
