MP_Name eta e.eta f.eta Q_A p_Duese_rel p_Duese_abs p_amb H_tot M_Generator M_Lager M_mech P_hyd P_mech ku kcm n_rpm v_ME rho Masse_Aufgelegt Masse_Generator_Sensor Masse_Lager_Sensor phi psi T_Water n_ED Q_ED 
[] [%] [%] [%] [m^3/s] [Pa(r)] [Pa(a)] [Pa(a)] [m] [Nm] [Nm] [Nm] [W] [W] [-] [-] [rpm] [m/s] [kg/m^3] [kg] [kg] [kg] [-] [-] [°C] [-] [-] 
MP01 85.139691 0.163307 0.191810 0.035075 1167167.822727 1262773.239438 95605.416710 120.150015 226.436982 1.815920 228.252903 41282.861305 35148.100555 0.519786 0.686801 1470.472588 4.430434 998.975636 18.999977 4.091935 0.740746 0.276559 3.670438 17.383845 0.233986 0.009515 
MP02 85.691911 0.162181 0.189260 0.035068 1167138.913230 1262740.981002 95602.067772 120.145656 232.382261 1.803757 234.186018 41273.093446 35367.702517 0.509792 0.686670 1442.172698 4.429510 998.983932 18.999977 4.698231 0.735784 0.281928 3.815776 17.337389 0.229487 0.009513 
MP03 86.168225 0.167206 0.194046 0.035076 1167074.621769 1262676.847816 95602.226047 120.139926 238.364624 1.798571 240.163195 41279.741472 35570.020670 0.499960 0.686832 1414.324442 4.430450 998.980514 20.000139 4.308147 0.733669 0.287540 3.967317 17.356447 0.225061 0.009516 
MP04 86.515449 0.161947 0.187188 0.035055 1167036.156154 1262638.339788 95602.183634 120.134991 244.238232 1.783950 246.022182 41254.326327 35691.365600 0.489728 0.686452 1385.352460 4.427909 998.979339 20.000139 4.907134 0.727705 0.293385 4.134858 17.362970 0.220455 0.009510 
MP05 86.619780 0.163366 0.188601 0.035080 1166960.305162 1262562.377278 95602.072117 120.128676 249.772365 1.762423 251.534788 41280.569979 35757.138746 0.479891 0.686944 1357.488265 4.430961 998.978926 21.000010 4.471631 0.718923 0.299613 4.306069 17.365180 0.216027 0.009517 
MP06 86.732424 0.162697 0.187584 0.035064 1167026.326678 1262625.177523 95598.850845 120.134688 255.331385 1.770699 257.102084 41263.630122 35788.946477 0.469905 0.686611 1329.274578 4.428928 998.977329 21.999881 4.038666 0.722299 0.305832 4.491061 17.374187 0.211532 0.009513 
MP07 86.665967 0.161224 0.186030 0.035075 1166865.297120 1262461.606888 95596.309768 120.118798 260.633114 1.787203 262.420317 41272.188422 35768.941140 0.460155 0.686889 1301.607406 4.430428 998.978405 21.999881 4.579333 0.729032 0.312439 4.683365 17.367958 0.207143 0.009516 
MP08 86.479563 0.159953 0.184961 0.035040 1166984.993003 1262578.821394 95593.828391 120.129098 265.811474 1.810257 267.621731 41233.920452 35658.914300 0.449804 0.686165 1272.383777 4.425944 998.977520 23.000042 4.107258 0.738436 0.319291 4.901474 17.373050 0.202483 0.009506 
MP09 86.044242 0.158646 0.184377 0.035093 1166944.253437 1262536.476069 95592.222632 120.127941 270.842235 1.815347 272.657582 41295.598125 35532.484590 0.439933 0.687201 1244.455522 4.432607 998.977589 23.000042 4.620292 0.740512 0.326948 5.123762 17.372608 0.198040 0.009521 
MP10 85.627636 0.169291 0.197706 0.035084 1166792.934129 1262383.084963 95590.150835 120.112052 275.695525 1.837728 277.533253 41280.244934 35347.297850 0.429981 0.687082 1216.221215 4.431546 998.977271 23.999914 4.115356 0.749642 0.334458 5.363724 17.374188 0.193559 0.009519 
MP11 85.130304 0.153733 0.180586 0.035084 1166849.949286 1262439.197543 95589.248257 120.117808 281.063769 1.821453 282.885222 41281.892354 35143.400502 0.419402 0.687060 1186.328335 4.431509 998.977672 23.999914 4.662806 0.743003 0.342883 5.637711 17.372017 0.188797 0.009519 
MP12 85.898139 0.159845 0.186086 0.032051 1168574.793957 1264162.283023 95587.489065 120.128469 258.531405 1.776515 260.307920 37716.326107 32397.622277 0.420149 0.627635 1188.494394 4.048403 998.975719 21.999881 4.365002 0.724672 0.312670 5.625494 17.385145 0.189134 0.008696 
MP13 86.359968 0.168933 0.195614 0.032054 1168590.891800 1264175.688487 95584.796687 120.130304 253.932831 1.782486 255.715317 37720.451354 32575.369677 0.430038 0.627690 1216.477253 4.048785 998.975431 21.999881 3.896042 0.727107 0.305506 5.369738 17.386769 0.193585 0.008696 
MP14 86.667754 0.164810 0.190163 0.032051 1168557.874387 1264143.794060 95585.919673 120.127054 249.075763 1.760901 250.836665 37715.739501 32687.384509 0.439916 0.627638 1244.401529 4.048398 998.973090 21.000010 4.400592 0.718303 0.298622 5.131316 17.399798 0.198032 0.008696 
MP15 86.951236 0.163682 0.188246 0.032063 1168653.358507 1264239.881575 95586.523068 120.137124 244.532725 1.757295 246.290020 37733.188474 32809.473715 0.449692 0.627848 1272.107555 4.049921 998.975650 21.000010 3.937296 0.716832 0.292228 4.910622 17.385629 0.202432 0.008698 
MP16 87.260460 0.167098 0.191494 0.032076 1168490.987896 1264076.587892 95585.599996 120.121457 239.907357 1.750327 241.657683 37743.459530 32935.116296 0.460097 0.628143 1301.457456 4.051560 998.973718 20.000139 4.465474 0.713989 0.285753 4.690992 17.396208 0.207116 0.008703 
MP17 87.300473 0.164789 0.188761 0.032064 1168385.666513 1263972.698962 95587.032449 120.110148 234.842429 1.736970 236.579398 37725.967084 32934.947780 0.469993 0.627941 1329.387032 4.050066 998.973213 20.000139 3.948956 0.708541 0.279647 4.495550 17.398894 0.211571 0.008700 
MP18 87.169296 0.167753 0.192445 0.032065 1168451.495088 1264036.762124 95585.267035 120.117137 229.671172 1.728202 231.399375 37729.451170 32888.496974 0.479822 0.627945 1357.229301 4.050211 998.971459 18.999977 4.421756 0.704964 0.273920 4.313249 17.408759 0.215996 0.008700 
MP19 87.091659 0.170373 0.195625 0.032040 1168471.592294 1264055.799632 95584.207337 120.117931 224.597854 1.720339 226.318193 37699.684441 32833.280500 0.489770 0.627444 1385.371318 4.046991 998.970865 18.999977 3.904382 0.701757 0.268142 4.139866 17.412094 0.220474 0.008693 
MP20 86.786107 0.176272 0.203111 0.032043 1168404.029842 1263985.782383 95581.752542 120.111208 219.188363 1.711579 220.899942 37701.318456 32719.506435 0.500058 0.627524 1414.433465 4.047394 998.970793 18.000106 4.352596 0.698183 0.262659 3.971262 17.412400 0.225105 0.008694 
MP21 86.317874 0.167459 0.194003 0.032057 1168396.537750 1263977.144718 95580.606967 120.111155 213.834662 1.698745 215.533407 37717.777978 32557.184134 0.509966 0.627798 1442.459488 4.049162 998.970945 18.000106 3.806629 0.692948 0.257668 3.818418 17.411539 0.229566 0.008698 
MP22 85.781686 0.167292 0.195020 0.032043 1168313.533265 1263893.971602 95580.438337 120.101990 208.366150 1.691201 210.057351 37698.010621 32337.989117 0.519758 0.627541 1470.098749 4.047350 998.970471 16.999945 4.249114 0.689871 0.252711 3.675929 17.414075 0.233973 0.008694 
MP23 86.489790 0.179552 0.207599 0.029025 1169612.497604 1265189.851451 95577.353847 120.084740 190.080152 1.661688 191.741840 34143.335986 29530.499567 0.520009 0.568491 1470.704042 3.666240 998.970126 14.999912 4.384352 0.677832 0.228820 3.676989 17.417663 0.234086 0.007876 
MP24 87.042477 0.177638 0.204082 0.029042 1169431.863720 1265008.803884 95576.940165 120.067032 195.189534 1.654547 196.844081 34157.827381 29731.819118 0.510021 0.568858 1442.349484 3.668335 998.970554 16.000073 3.905243 0.674919 0.233452 3.822386 17.415042 0.229590 0.007881 
MP25 87.414600 0.181439 0.207561 0.029049 1169550.580450 1265125.927599 95575.347149 120.079826 200.054172 1.655717 201.709889 34170.097398 29869.654080 0.499999 0.568973 1414.081318 3.669272 998.967840 16.000073 4.401336 0.675396 0.238180 3.977151 17.430315 0.225079 0.007883 
MP26 87.637863 0.175901 0.200713 0.029058 1169492.654533 1265066.985006 95574.330473 120.074191 204.858032 1.650039 206.508071 34179.012179 29953.755835 0.489768 0.569160 1385.114376 3.670397 998.969038 16.000073 4.891230 0.673080 0.243235 4.145029 17.423564 0.220473 0.007885 
MP27 87.775074 0.175053 0.199433 0.029053 1169538.599437 1265112.668186 95574.068749 120.078787 209.378448 1.626353 211.004801 34174.440055 29996.639975 0.480008 0.569052 1357.536940 3.669770 998.967858 16.999945 4.352348 0.663418 0.248134 4.315321 17.430195 0.216079 0.007884 
MP28 87.805251 0.173371 0.197450 0.029063 1169476.064775 1265049.982331 95573.917556 120.072822 214.011108 1.611213 215.622321 34183.761102 30015.137364 0.470030 0.569250 1329.284684 3.670952 998.968063 18.000106 3.824623 0.657242 0.253489 4.500462 17.428973 0.211588 0.007887 
MP29 87.923847 0.171703 0.195287 0.029047 1169450.751129 1265026.686650 95575.935522 120.069738 218.797224 1.592575 220.389798 34164.085441 30038.378095 0.460224 0.568945 1301.536566 3.668941 998.965944 18.000106 4.312708 0.649639 0.258752 4.694311 17.440744 0.207174 0.007882 
MP30 87.614568 0.172499 0.196884 0.029052 1169343.070360 1264916.586994 95573.516635 120.058946 223.113848 1.574217 224.688065 34166.878067 29935.162685 0.449889 0.569068 1272.251585 3.669570 998.966235 18.000106 4.752915 0.642151 0.264753 4.912454 17.438982 0.202521 0.007884 
MP31 87.287344 0.180966 0.207322 0.029049 1169297.144748 1264868.611652 95571.466903 120.054259 227.251792 1.569854 228.821646 34162.420638 29819.469775 0.440063 0.569028 1244.440663 3.669239 998.965183 18.999977 4.175029 0.640371 0.270646 5.134280 17.444769 0.198098 0.007884 
MP32 86.789130 0.172721 0.199012 0.029060 1169418.294898 1264983.004315 95564.709416 120.067511 231.312626 1.578590 232.891216 34178.633877 29663.338927 0.430086 0.569206 1216.293278 3.670586 998.962006 18.999977 4.589151 0.643935 0.277011 5.375238 17.462581 0.193607 0.007886 
MP33 86.353047 0.169111 0.195836 0.029050 1169357.038395 1264918.820412 95561.782017 120.060863 235.768722 1.561283 237.330005 34165.487814 29502.939623 0.419771 0.569034 1187.091033 3.669380 998.961532 20.000139 4.043419 0.636875 0.283732 5.642657 17.465127 0.188964 0.007884 
MP34 86.522837 0.172615 0.199502 0.026080 1171294.434444 1266854.585546 95560.151103 120.125195 212.279901 1.512855 213.792755 30688.870962 26552.881805 0.419279 0.510719 1186.014667 3.294219 998.963527 16.999945 4.648236 0.617120 0.254954 5.662258 17.456512 0.188742 0.007076 
MP35 87.075858 0.185273 0.212772 0.026028 1171371.406894 1266931.087072 95559.680178 120.131060 207.885023 1.519971 209.404994 30629.534852 26670.930340 0.429956 0.509695 1216.249047 3.287694 998.961881 16.999945 4.200049 0.620023 0.248124 5.384607 17.465762 0.193548 0.007062 
MP36 87.523959 0.182576 0.208601 0.026031 1171365.404960 1266924.994461 95559.589501 120.130808 204.256485 1.505861 205.762346 30631.817992 26810.179967 0.439853 0.509736 1244.243006 3.287954 998.959590 16.999945 3.830013 0.614267 0.242560 5.145024 17.478479 0.198003 0.007062 
MP37 87.994560 0.180765 0.205428 0.026011 1171343.190879 1266904.138829 95560.947950 120.127868 200.661392 1.498769 202.160161 30607.696131 26933.107481 0.449749 0.509354 1272.220153 3.285449 998.958198 16.000073 4.463260 0.611374 0.237045 4.921139 17.486185 0.202458 0.007057 
MP38 88.143566 0.187815 0.213079 0.026013 1171318.637701 1266878.380405 95559.742704 120.125383 196.501892 1.497743 197.999635 30609.747277 26980.522775 0.460012 0.509403 1301.239840 3.285736 998.958819 16.000073 4.039076 0.610956 0.231779 4.703987 17.482705 0.207078 0.007057 
MP39 88.188307 0.182615 0.207074 0.026012 1171363.672767 1266923.423265 95559.750497 120.129906 192.394979 1.494506 193.889485 30609.990441 26994.432287 0.469997 0.509378 1329.509129 3.285637 998.959161 14.999912 4.620416 0.609635 0.226844 4.506244 17.480860 0.211573 0.007057 
MP40 88.017109 0.182830 0.207721 0.026020 1171438.387141 1266996.750782 95558.363641 120.137714 188.158012 1.497813 189.655825 30620.997216 26951.716565 0.479713 0.509511 1357.036808 3.286601 998.960353 14.999912 4.188333 0.610984 0.222308 4.325550 17.474333 0.215947 0.007059 
MP41 88.028331 0.185365 0.210574 0.026030 1171337.655078 1266892.416395 95554.761317 120.127707 184.333950 1.513979 185.847929 30630.566219 26963.576122 0.489778 0.509734 1385.450930 3.287897 998.961675 14.000041 4.798228 0.617579 0.217834 4.149582 17.466849 0.220477 0.007062 
MP42 87.878808 0.192548 0.219106 0.026007 1171444.413999 1266999.996904 95555.582906 120.137745 180.109179 1.513167 181.622346 30605.621739 26895.855649 0.499893 0.509255 1414.123912 3.284949 998.960608 14.000041 4.367389 0.617248 0.213226 3.983380 17.472920 0.225031 0.007055 
MP43 87.192344 0.187003 0.214472 0.026055 1171395.225827 1266950.388576 95555.162749 120.134979 175.491847 1.538880 177.030728 30662.192219 26735.083992 0.509799 0.510215 1442.129566 3.291102 998.959006 14.000041 3.896516 0.627737 0.209477 3.830016 17.481752 0.229490 0.007069 
MP44 86.768301 0.187210 0.215759 0.026010 1171362.549793 1266917.614213 95555.064420 120.129875 170.903492 1.575018 172.478510 30607.703406 26557.784290 0.519795 0.509341 1470.375403 3.285397 998.957792 12.999879 4.428760 0.642478 0.205097 3.684182 17.488449 0.233990 0.007057 
MP45 86.841993 0.196421 0.226182 0.023014 1172512.582136 1268065.104545 95552.522409 120.127789 151.136569 1.595154 152.731723 27081.906681 23518.467374 0.519827 0.450680 1470.453002 2.906992 998.957851 11.000137 4.412683 0.650691 0.181465 3.687410 17.489585 0.234004 0.006244 
MP46 87.459834 0.198905 0.227425 0.022994 1172451.890063 1267997.821885 95545.931822 120.120852 155.018554 1.638796 156.657350 27055.719178 23662.887206 0.509928 0.450284 1442.408725 2.904350 998.957507 12.000008 3.808694 0.668494 0.184825 3.831993 17.491397 0.229548 0.006238 
