MP_Name eta e.eta f.eta Q_A p_Duese_rel p_Duese_abs p_amb H_tot M_Generator M_Lager M_mech P_hyd P_mech ku kcm n_rpm v_ME rho Masse_Aufgelegt Masse_Generator_Sensor Masse_Lager_Sensor phi psi T_Water n_ED Q_ED 
[] [%] [%] [%] [m^3/s] [Pa(r)] [Pa(a)] [Pa(a)] [m] [Nm] [Nm] [Nm] [W] [W] [-] [-] [rpm] [m/s] [kg/m^3] [kg] [kg] [kg] [-] [-] [°C] [-] [-] 
MP01 83.844404 0.161368 0.192461 0.035080 1167213.001916 1263329.712202 96116.710286 120.181496 223.143767 1.621898 224.765665 41289.320082 34618.784325 0.519833 0.686792 1470.798660 4.430957 998.752394 18.499896 4.256176 0.661601 0.276531 3.669773 18.587781 0.234007 0.009515 
MP02 84.274272 0.163466 0.193969 0.035042 1166992.302152 1263114.881531 96122.579379 120.157383 228.418746 1.636038 230.054784 41236.751491 34751.972132 0.509887 0.686127 1442.512443 4.426224 998.747705 18.499896 4.794115 0.667369 0.281652 3.814402 18.611917 0.229530 0.009506 
MP03 84.544730 0.169073 0.199980 0.035033 1167000.223614 1263121.263062 96121.039448 120.157401 233.657789 1.639697 235.297486 41226.118681 34854.510782 0.499997 0.685949 1414.533006 4.425072 998.749979 19.500058 4.328228 0.668862 0.287148 3.966810 18.600100 0.225078 0.009503 
MP04 84.719417 0.163110 0.192529 0.035046 1166924.927039 1263046.794720 96121.867681 120.150759 239.150779 1.659090 240.809869 41238.519634 34937.033541 0.489722 0.686214 1385.425340 4.426660 998.747216 19.500058 4.888400 0.676772 0.293287 4.134990 18.614376 0.220452 0.009507 
MP05 84.852552 0.164334 0.193670 0.035039 1166906.504090 1263028.048185 96121.544095 120.148430 244.333408 1.676563 246.009971 41229.829069 34984.562061 0.480027 0.686089 1357.985443 4.425811 998.747758 20.499929 4.417050 0.683900 0.299155 4.303714 18.611535 0.216088 0.009505 
MP06 84.933074 0.158509 0.186628 0.035036 1166864.882267 1262986.911853 96122.029585 120.144125 249.808731 1.681708 251.490439 41225.314761 35013.926908 0.469969 0.686051 1329.507291 4.425488 998.746993 21.500091 3.975259 0.685998 0.305541 4.489903 18.615465 0.211560 0.009505 
MP07 84.801666 0.157741 0.186011 0.035041 1166790.874637 1262912.636516 96121.761878 120.137357 254.868922 1.705604 256.574526 41227.802030 34961.863038 0.459984 0.686154 1301.225048 4.426025 998.742412 21.500091 4.491294 0.695746 0.312220 4.686926 18.639160 0.207066 0.009506 
MP08 84.568286 0.155515 0.183893 0.035064 1166846.149886 1262969.097691 96122.947804 120.144213 260.193046 1.699000 261.892047 41258.063667 34891.237153 0.449721 0.686598 1272.229440 4.429016 998.743575 22.499962 4.034374 0.693052 0.319552 4.903228 18.633194 0.202446 0.009512 
MP09 84.326288 0.157532 0.186812 0.035069 1166912.340620 1263036.703442 96124.362822 120.151460 265.364926 1.687215 267.052141 41265.974440 34798.064530 0.439841 0.686668 1244.315203 4.429606 998.741717 22.499962 4.561799 0.688245 0.326764 5.125988 18.642914 0.197998 0.009513 
MP10 84.154348 0.157521 0.187181 0.035043 1166918.962468 1263042.682885 96123.720417 120.150695 270.724255 1.681996 272.406251 41235.737986 34701.666519 0.430003 0.686172 1216.479079 4.426389 998.741617 23.500123 4.108180 0.686116 0.333998 5.363294 18.643442 0.193569 0.009506 
MP11 83.724397 0.155954 0.186271 0.035061 1166680.215305 1262805.511115 96125.295810 120.127258 275.923564 1.701569 277.625132 41248.441107 34535.008397 0.419934 0.686584 1187.878903 4.428614 998.742153 23.500123 4.638402 0.694100 0.342212 5.623510 18.640381 0.189037 0.009512 
MP12 84.374002 0.161169 0.191017 0.032046 1168526.548375 1264645.973527 96119.425152 120.151308 253.952329 1.865271 255.817600 37709.171199 31816.736755 0.419819 0.627485 1187.672213 4.047816 998.741231 21.500091 4.397820 0.760877 0.312841 5.634375 18.647345 0.188985 0.008693 
MP13 84.781196 0.164399 0.193910 0.032047 1168539.509768 1264658.733217 96119.223449 120.152238 249.149611 1.878401 251.028012 37709.843588 31970.856500 0.429900 0.627486 1216.195707 4.047843 998.744622 21.500091 3.908042 0.766233 0.305506 5.373229 18.629764 0.193523 0.008693 
MP14 85.034693 0.169502 0.199332 0.032064 1168526.475206 1264646.221345 96119.746139 120.152075 244.213941 1.880738 246.094678 37730.281869 32083.829310 0.440068 0.627829 1244.959881 4.050051 998.742478 20.499929 4.404867 0.767186 0.298610 5.127760 18.640876 0.198100 0.008698 
MP15 85.342864 0.160435 0.187989 0.032032 1168432.800496 1264550.980921 96118.180425 120.141215 239.545441 1.868505 241.413946 37688.927782 32164.810402 0.449753 0.627228 1272.301454 4.045991 998.739287 20.499929 3.928776 0.762196 0.291900 4.909360 18.657309 0.202460 0.008690 
MP16 85.591937 0.163802 0.191376 0.032015 1168520.058372 1264638.189099 96118.130726 120.149341 234.676688 1.861162 236.537850 37671.680381 32243.920980 0.460137 0.626878 1301.723021 4.043869 998.738517 19.500058 4.432135 0.759201 0.285153 4.690299 18.661405 0.207135 0.008685 
MP17 85.456564 0.162636 0.190314 0.032065 1168515.913219 1264636.289536 96120.376318 120.151257 229.775676 1.853133 231.628809 37731.590870 32244.120973 0.469888 0.627858 1329.319421 4.050225 998.740895 19.500058 3.932332 0.755926 0.279672 4.497555 18.649078 0.211524 0.008699 
MP18 85.507049 0.167423 0.195800 0.032031 1168366.249547 1264488.836554 96122.587006 120.134343 224.828437 1.847988 226.676425 37686.022790 32224.205878 0.479892 0.627233 1357.523172 4.045909 998.739645 18.499896 4.427978 0.753827 0.273570 4.312068 18.655384 0.216027 0.008690 
MP19 85.288042 0.167903 0.196865 0.032051 1168282.716476 1264406.105259 96123.388783 120.126826 219.776158 1.832330 221.608488 37706.808570 32159.398681 0.489894 0.627638 1385.775604 4.048393 998.739751 18.499896 3.912749 0.747440 0.268157 4.137740 18.654735 0.220530 0.008696 
MP20 85.156084 0.167847 0.197106 0.032073 1168494.324382 1264617.112311 96122.787930 120.149499 215.193381 1.807915 217.001296 37740.121845 32138.009728 0.499916 0.628014 1414.256005 4.051202 998.740537 17.500025 4.445271 0.737481 0.262939 3.973482 18.650912 0.225041 0.008701 
