MP_Name eta e.eta f.eta Q_A p_Duese_rel p_Duese_abs p_amb H_tot M_Generator M_Lager M_mech P_hyd P_mech ku kcm n_rpm v_ME rho Masse_Aufgelegt Masse_Generator_Sensor Masse_Lager_Sensor phi psi T_Water n_ED Q_ED 
[] [%] [%] [%] [m^3/s] [Pa(r)] [Pa(a)] [Pa(a)] [m] [Nm] [Nm] [Nm] [W] [W] [-] [-] [rpm] [m/s] [kg/m^3] [kg] [kg] [kg] [-] [-] [°C] [-] [-] 
MP01 84.812186 0.172354 0.203218 0.035016 1166870.245291 1264180.531554 97310.286264 120.133941 225.247369 1.680644 226.928013 41201.230631 34943.664298 0.519815 0.685682 1470.454927 4.422922 998.827258 18.999977 3.970619 0.685564 0.276094 3.670136 18.196367 0.233999 0.009500 
MP02 85.081243 0.175663 0.206464 0.035046 1166774.726487 1264086.508556 97311.782069 120.126122 230.570389 1.697892 232.268281 41233.507591 35081.980756 0.509890 0.686288 1442.333139 4.426684 998.825281 18.999977 4.513458 0.692600 0.281716 3.814342 18.206771 0.229531 0.009508 
MP03 85.478536 0.173823 0.203353 0.035000 1166812.827002 1264124.794311 97311.967309 120.127436 235.949366 1.699299 237.648665 41180.530637 35200.514529 0.500027 0.685395 1414.441578 4.420949 998.825186 20.000139 4.061841 0.693174 0.286899 3.966387 18.207321 0.225091 0.009496 
MP04 85.460765 0.173403 0.202904 0.035053 1166724.100312 1264035.438070 97311.337759 120.121386 241.262622 1.675781 242.938403 41240.025686 35244.041512 0.489757 0.686437 1385.354481 4.427560 998.824965 20.000139 4.603683 0.683581 0.293361 4.134379 18.208384 0.220468 0.009510 
MP05 85.593417 0.172951 0.202061 0.035040 1166672.968447 1263983.913212 97310.944765 120.115750 246.549713 1.654843 248.204556 41223.352422 35284.475844 0.479927 0.686210 1357.517080 4.425988 998.822500 21.000010 4.142987 0.675040 0.299271 4.305500 18.221423 0.216043 0.009507 
MP06 85.665293 0.167817 0.195898 0.035019 1166693.813583 1264004.724279 97310.910696 120.116712 251.913789 1.647236 253.561024 41198.183766 35292.544913 0.469894 0.685783 1329.143466 4.423253 998.821932 21.999881 3.690141 0.671937 0.305470 4.491366 18.224469 0.211527 0.009501 
MP07 85.488775 0.167403 0.195819 0.035046 1166529.918685 1263837.631003 97307.712318 120.101672 256.989104 1.641575 258.630679 41224.964009 35242.716868 0.460061 0.686358 1301.249939 4.426688 998.820729 21.999881 4.207719 0.669628 0.312261 4.685331 18.230646 0.207100 0.009509 
MP08 85.307580 0.167115 0.195897 0.035045 1166630.422055 1263936.315607 97305.893552 120.111820 262.359584 1.616698 263.976282 41227.910735 35170.533086 0.449803 0.686320 1272.287985 4.426627 998.821447 23.000042 3.755236 0.659480 0.319365 4.901488 18.226952 0.202482 0.009509 
MP09 85.097687 0.172363 0.202547 0.035031 1166591.893405 1263900.009344 97308.115939 120.107142 267.520997 1.623055 269.144052 41209.963549 35068.725802 0.439898 0.686062 1244.246943 4.424874 998.821054 23.000042 4.281594 0.662073 0.326433 5.124736 18.228998 0.198024 0.009505 
MP10 84.761720 0.169595 0.200085 0.035061 1166481.022373 1263787.033490 97306.011117 120.097497 272.810560 1.645418 274.455978 41241.241484 34956.785454 0.430024 0.686665 1216.270510 4.428588 998.821069 23.999914 3.821149 0.671195 0.334221 5.362694 18.228780 0.193579 0.009513 
