MP_Name eta e.eta f.eta Q_A p_Duese_rel p_Duese_abs p_amb H_tot M_Generator M_Lager M_mech P_hyd P_mech ku kcm n_rpm v_ME rho Masse_Aufgelegt Masse_Generator_Sensor Masse_Lager_Sensor phi psi T_Water n_ED Q_ED 
[] [%] [%] [%] [m^3/s] [Pa(r)] [Pa(a)] [Pa(a)] [m] [Nm] [Nm] [Nm] [W] [W] [-] [-] [rpm] [m/s] [kg/m^3] [kg] [kg] [kg] [-] [-] [°C] [-] [-] 
MP01 83.482336 0.160360 0.192088 0.035033 1167097.244929 1262522.550364 95425.305435 120.168022 221.461949 2.039330 223.501278 41229.476676 34419.330422 0.519791 0.685918 1470.597382 4.425068 998.743977 18.499896 4.084665 0.831879 0.276201 3.670444 18.629740 0.233988 0.009503 
MP02 83.912534 0.162119 0.193200 0.035026 1167073.593174 1262500.220334 95426.627160 120.165232 226.957570 2.062132 229.019702 41220.217073 34588.928523 0.509772 0.685788 1442.233720 4.424178 998.743750 18.499896 4.645105 0.841180 0.281576 3.816157 18.630896 0.229478 0.009501 
MP03 84.149381 0.165525 0.196704 0.035048 1166895.300513 1262326.786240 95431.485727 120.148382 232.214472 2.075779 234.290251 41239.845868 34703.075083 0.499984 0.686259 1414.441937 4.426910 998.742728 19.500058 4.181039 0.846747 0.287286 3.966992 18.636000 0.225072 0.009508 
MP04 84.302431 0.158919 0.188511 0.035031 1166958.529290 1262391.132997 95432.603707 120.153853 237.424955 2.083539 239.508494 41222.333420 34751.429138 0.489761 0.685921 1385.552963 4.424827 998.743109 19.500058 4.712401 0.849912 0.293138 4.134364 18.634100 0.220470 0.009503 
MP05 84.387552 0.156262 0.185172 0.035049 1166757.814482 1262185.223320 95427.408839 120.134504 242.657887 2.083546 244.741433 41237.256138 34799.111056 0.479985 0.686335 1357.788213 4.427146 998.742275 20.499929 4.246182 0.849915 0.299289 4.304439 18.638174 0.216069 0.009509 
MP06 84.398810 0.157100 0.186139 0.035055 1166788.774767 1262215.673805 95426.899038 120.138200 247.900188 2.166016 250.066204 41245.556332 34810.758793 0.469915 0.686443 1329.321016 4.427908 998.740678 21.500091 3.780627 0.883556 0.305751 4.490897 18.646496 0.211536 0.009510 
MP07 84.367531 0.158617 0.188007 0.035047 1166720.982628 1262147.102807 95426.120179 120.130638 252.944885 2.319687 255.264573 41233.315191 34787.529961 0.460052 0.686303 1301.380907 4.426866 998.742096 21.500091 4.295082 0.946241 0.312242 4.685524 18.639058 0.207096 0.009508 
MP08 84.294949 0.158084 0.187537 0.035008 1166682.733442 1262104.505319 95421.771877 120.124716 258.233862 2.339414 260.573276 41184.573979 34716.515762 0.449771 0.685544 1272.265179 4.421860 998.740065 22.499962 3.834578 0.954288 0.319026 4.902283 18.649538 0.202468 0.009498 
MP09 83.989813 0.156536 0.186375 0.035043 1166710.479901 1262134.435619 95423.955717 120.129375 263.342290 2.344055 265.686345 41228.108135 34627.410802 0.439974 0.686228 1244.578135 4.426355 998.741760 22.499962 4.355532 0.956181 0.326455 5.122936 18.640785 0.198058 0.009507 
MP10 83.781448 0.164819 0.196725 0.035035 1166612.483812 1262042.728309 95430.244497 120.119006 268.724516 2.351078 271.075593 41215.091124 34530.600324 0.430040 0.686100 1216.424318 4.425343 998.740970 23.500123 3.904247 0.959046 0.333934 5.362372 18.644781 0.193586 0.009506 
MP11 83.433278 0.153876 0.184430 0.035019 1166563.952050 1261989.014821 95425.062772 120.113163 274.182512 2.354294 276.536806 41194.202121 34369.673027 0.419593 0.685803 1186.844551 4.423316 998.740744 23.500123 4.460851 0.960358 0.342100 5.632763 18.645883 0.188883 0.009501 
MP12 84.118012 0.158116 0.187969 0.032032 1168404.067064 1263819.592285 95415.525221 120.138421 252.683068 2.292507 254.975574 37688.307413 31702.654992 0.419717 0.627240 1187.321789 4.046022 998.738220 21.500091 4.268382 0.935154 0.312794 5.637128 18.661133 0.188939 0.008690 
MP13 84.517910 0.163834 0.193846 0.032024 1168390.663002 1263807.999107 95417.336105 120.136855 247.742062 2.279727 250.021789 37678.519373 31845.097082 0.429960 0.627091 1216.287102 4.045031 998.736453 21.500091 3.764501 0.929941 0.305271 5.371781 18.670277 0.193550 0.008688 
MP14 84.696674 0.159650 0.188496 0.032047 1168398.582312 1263814.828280 95416.245968 120.138758 242.859993 2.257613 245.117607 37705.421787 31935.238062 0.439800 0.627523 1244.133639 4.047853 998.737039 20.499929 4.266792 0.920920 0.298646 5.134039 18.667248 0.197979 0.008694 
MP15 84.942241 0.163342 0.192297 0.032036 1168466.153680 1263878.793054 95412.639374 120.145237 238.074571 2.246785 240.321356 37695.267145 32019.204585 0.449745 0.627304 1272.300084 4.046549 998.736053 20.499929 3.778778 0.916503 0.291941 4.909527 18.672427 0.202456 0.008691 
MP16 85.134465 0.163259 0.191766 0.032034 1168278.173928 1263688.233150 95410.059223 120.126030 233.233030 2.232834 235.465864 37686.764873 32084.425569 0.459990 0.627313 1301.180945 4.046286 998.735253 19.500058 4.284911 0.910812 0.285442 4.693252 18.676337 0.207068 0.008691 
MP17 85.145314 0.166535 0.195590 0.032028 1168350.273879 1263761.161867 95410.887988 120.132939 228.295274 2.212405 230.507679 37681.476932 32084.011741 0.469865 0.627171 1329.152008 4.045482 998.736264 19.500058 3.781362 0.902479 0.279380 4.498071 18.671193 0.211514 0.008689 
MP18 85.173801 0.165074 0.193808 0.032004 1168307.745099 1263720.765163 95413.020064 120.127549 223.450223 2.203363 225.653586 37651.310568 32069.052338 0.479759 0.626712 1357.110681 4.042431 998.734504 18.499896 4.287428 0.898791 0.273418 4.314496 18.680259 0.215968 0.008683 
MP19 84.952864 0.168575 0.198434 0.032023 1168229.623088 1263647.674709 95418.051621 120.120637 218.363857 2.191551 220.555408 37671.517264 32003.032702 0.489853 0.627103 1385.622114 4.044836 998.733888 18.499896 3.768724 0.893972 0.267951 4.138493 18.683369 0.220511 0.008688 
MP20 84.850861 0.173749 0.204769 0.032029 1168379.290968 1263802.128728 95422.837761 120.136272 213.677939 2.170910 215.848849 37683.820609 31975.046293 0.500064 0.627185 1414.597308 4.045631 998.733683 17.500025 4.290727 0.885553 0.262514 3.971201 18.684619 0.225108 0.008689 
MP21 84.621884 0.168779 0.199451 0.032024 1168282.239355 1263705.686061 95423.446705 120.126134 208.926510 2.148331 211.074840 37675.147714 31881.419775 0.509898 0.627120 1442.356334 4.045042 998.733557 17.500025 3.806179 0.876342 0.257424 3.819499 18.685153 0.229535 0.008688 
MP22 84.161729 0.165152 0.196231 0.032045 1168168.231753 1263592.823446 95424.591693 120.115670 203.972161 2.109222 206.081383 37695.691090 31725.345492 0.519719 0.627545 1470.073276 4.047604 998.732560 16.499864 4.301099 0.860389 0.252731 3.676475 18.690183 0.233956 0.008694 
MP23 84.919315 0.173429 0.204228 0.029047 1170330.479497 1265745.601057 95415.121559 120.187611 186.530551 2.017236 188.547786 34190.078854 29033.980591 0.519704 0.568674 1470.471210 3.668993 998.731490 14.500121 4.522156 0.822866 0.229028 3.681290 18.698260 0.233949 0.007879 
MP24 85.348237 0.174310 0.204233 0.029058 1170328.878986 1265735.514508 95406.635522 120.188045 191.301450 2.003704 193.305154 34202.500065 29191.230879 0.509659 0.568878 1442.050122 3.670316 998.730634 15.499993 4.008818 0.817346 0.233627 3.827826 18.702660 0.229427 0.007881 
MP25 85.786748 0.179972 0.209791 0.029023 1170309.190566 1265710.822573 95401.632007 120.184372 195.878751 2.000050 197.878801 34160.918102 29305.540782 0.499836 0.568213 1414.235884 3.665965 998.730928 15.499993 4.475608 0.815856 0.237939 3.979805 18.701107 0.225005 0.007872 
MP26 85.830951 0.170671 0.198846 0.029028 1170336.512357 1265736.305786 95399.793429 120.187321 200.141795 1.998209 202.140004 34167.636884 29326.407655 0.489642 0.568303 1385.408921 3.666593 998.731562 15.499993 4.910351 0.815105 0.242932 4.147242 18.697857 0.220416 0.007873 
MP27 85.878475 0.170389 0.198407 0.029022 1170304.672857 1265700.831162 95396.158305 120.183535 204.404360 1.995005 206.399365 34158.799110 29335.055730 0.479686 0.568182 1357.219039 3.665754 998.733412 16.499864 4.345174 0.813798 0.247921 4.321185 18.688241 0.215935 0.007872 
