MP_Name eta e.eta f.eta Q_A p_Duese_rel p_Duese_abs p_amb H_tot M_Generator M_Lager M_mech P_hyd P_mech ku kcm n_rpm v_ME rho Masse_Aufgelegt Masse_Generator_Sensor Masse_Lager_Sensor phi psi T_Water n_ED Q_ED 
[] [%] [%] [%] [m^3/s] [Pa(r)] [Pa(a)] [Pa(a)] [m] [Nm] [Nm] [Nm] [W] [W] [-] [-] [rpm] [m/s] [kg/m^3] [kg] [kg] [kg] [-] [-] [°C] [-] [-] 
MP01 84.074978 0.170828 0.203185 0.035020 1166706.388177 1263872.885876 97166.497699 120.119976 223.283553 1.714742 224.998295 41199.706697 34638.644335 0.519727 0.685791 1470.120863 4.423368 998.805761 18.999977 3.770350 0.699474 0.276184 3.671367 18.309823 0.233959 0.009501 
MP02 84.512037 0.172430 0.204030 0.035033 1166678.228822 1263848.801461 97170.572639 120.117743 228.877238 1.721770 230.599008 41214.866256 34831.522947 0.509932 0.686062 1442.402318 4.425073 998.806829 18.999977 4.340791 0.702340 0.281600 3.813732 18.304153 0.229550 0.009505 
MP03 84.673650 0.175942 0.207788 0.035063 1166720.610461 1263889.940924 97169.330463 120.124098 234.133854 1.758044 235.891898 41252.229657 34929.768511 0.499883 0.686631 1414.015157 4.428862 998.804172 20.000139 3.876696 0.717137 0.287500 3.968549 18.318242 0.225027 0.009513 
MP04 84.872258 0.171178 0.201689 0.035033 1166623.468451 1263791.978099 97168.509648 120.112321 239.369986 1.754679 241.124665 41212.971011 34978.379102 0.489740 0.686078 1385.254038 4.425076 998.805417 20.000139 4.410673 0.715765 0.293218 4.134703 18.311546 0.220460 0.009505 
MP05 84.970446 0.171852 0.202249 0.035044 1166514.122128 1263682.957632 97168.835503 120.101730 244.455079 1.969916 246.424994 41222.787400 35027.186122 0.479896 0.686332 1357.350092 4.426517 998.806068 21.000010 3.929377 0.803563 0.299343 4.306044 18.307971 0.216029 0.009509 
MP06 84.980804 0.164912 0.194058 0.035046 1166522.780609 1263691.605014 97168.824404 120.103083 249.715942 1.982415 251.698357 41224.520363 35032.928879 0.469916 0.686351 1329.129965 4.426668 998.802703 21.999881 3.466006 0.808662 0.305709 4.490885 18.325761 0.211536 0.009509 
MP07 84.948119 0.170210 0.200369 0.035044 1166412.952646 1263579.644681 97166.692035 120.091528 254.939154 1.990783 256.929937 41219.120167 35014.867436 0.460132 0.686359 1301.395074 4.426504 998.804947 21.999881 3.998666 0.812075 0.312213 4.683890 18.313771 0.207132 0.009509 
MP08 84.829425 0.169695 0.200042 0.035030 1166502.357530 1263666.610584 97164.253054 120.099976 260.374412 1.988293 262.362705 41205.214242 34954.146256 0.449807 0.686056 1272.236882 4.424705 998.803842 23.000042 3.552790 0.811060 0.319239 4.901430 18.319710 0.202484 0.009505 
MP09 84.525181 0.168379 0.199206 0.035066 1166443.244058 1263607.267773 97164.023715 120.096414 265.503254 1.975442 267.478696 41245.732933 34863.030298 0.440060 0.686763 1244.650216 4.429203 998.800135 23.000042 4.075826 0.805818 0.326646 5.120870 18.339214 0.198097 0.009515 
MP10 84.295907 0.171221 0.203119 0.035039 1166449.200296 1263615.601683 97166.401387 120.095617 270.818573 1.964259 272.782832 41214.255955 34741.930970 0.430006 0.686247 1216.209249 4.425857 998.799241 23.999914 3.618007 0.801256 0.334032 5.363205 18.343945 0.193571 0.009508 
MP11 83.819137 0.160233 0.191165 0.035033 1166372.912063 1263544.009454 97171.097391 120.087436 276.023568 1.936304 277.959872 41204.298640 34537.087416 0.419523 0.686151 1186.519798 4.425087 998.799617 23.999914 4.148810 0.789852 0.342331 5.634592 18.341878 0.188852 0.009506 
MP12 84.470122 0.167342 0.198108 0.032043 1168130.171099 1265303.293759 97173.122660 120.103762 254.350242 1.865466 256.215708 37692.449061 31838.857890 0.419541 0.627542 1186.651276 4.047388 998.798982 21.999881 3.938609 0.760957 0.313077 5.641834 18.347360 0.188860 0.008694 
MP13 84.942997 0.175238 0.206301 0.032035 1168268.301326 1265443.372911 97175.071585 120.117576 249.441712 1.886746 251.328457 37687.452814 32012.851840 0.430012 0.627352 1216.337458 4.046391 998.797958 21.999881 3.438040 0.769637 0.305361 5.370443 18.352931 0.193573 0.008692 
MP14 85.256354 0.173999 0.204089 0.032028 1168202.517416 1265378.997730 97176.480313 120.110655 244.684111 1.870515 246.554625 37676.823455 32121.886160 0.439843 0.627230 1244.111390 4.045488 998.796553 21.000010 3.952734 0.763016 0.298477 5.133055 18.360262 0.197999 0.008690 
MP15 85.357294 0.175168 0.205218 0.032064 1168182.323219 1265359.563317 97177.240098 120.110455 239.792979 1.867092 241.660072 37718.696255 32195.658434 0.449783 0.627928 1272.224613 4.049991 998.796527 21.000010 3.453939 0.761620 0.292206 4.908620 18.360380 0.202473 0.008700 
MP16 85.691251 0.175046 0.204275 0.032031 1168256.511229 1265433.122392 97176.611163 120.116112 235.090956 1.861117 236.952073 37682.169526 32290.322553 0.460058 0.627275 1301.317449 4.045871 998.798340 20.000139 3.974300 0.759182 0.285383 4.691884 18.350907 0.207099 0.008691 
MP17 85.736622 0.174985 0.204096 0.032023 1168205.404294 1265380.440855 97175.036561 120.110593 230.151604 1.856051 232.007656 37671.354185 32298.146482 0.469987 0.627139 1329.372425 4.044899 998.797504 20.000139 3.470588 0.757116 0.279293 4.495746 18.355252 0.211568 0.008689 
MP18 85.651638 0.176081 0.205578 0.032038 1168253.936397 1265427.136881 97173.200484 120.116695 225.316090 1.847235 227.163326 37690.989572 32282.950011 0.479771 0.627420 1357.082899 4.046814 998.794516 18.999977 3.977627 0.753520 0.273720 4.314214 18.371050 0.215973 0.008693 
MP19 85.432633 0.178362 0.208775 0.032050 1168065.497741 1265236.502804 97171.005063 120.097864 220.187623 1.839143 222.026766 37698.707395 32206.998488 0.489754 0.627695 1385.212183 4.048271 998.796126 18.999977 3.454629 0.750219 0.268258 4.140103 18.362334 0.220467 0.008696 
MP20 85.450506 0.183252 0.214454 0.032024 1167997.642441 1265165.148338 97167.505897 120.089673 215.478284 1.820629 217.298913 37665.829166 32185.641427 0.500095 0.627212 1414.412209 4.045019 998.795462 18.000106 3.974245 0.742667 0.262509 3.970697 18.365742 0.225122 0.008690 
MP21 85.231216 0.182780 0.214451 0.032031 1168082.766452 1265244.784004 97162.017552 120.098971 210.793963 1.810492 212.604455 37676.743838 32112.346952 0.509954 0.627322 1442.351361 4.045886 998.793379 18.000106 3.496540 0.738532 0.257479 3.818644 18.376804 0.229560 0.008691 
MP22 84.774226 0.178150 0.210147 0.032043 1168026.513387 1265184.650174 97158.136787 120.093766 205.667019 1.803828 207.470847 37688.793561 31950.383088 0.519948 0.627563 1470.585813 4.047353 998.793938 16.999945 3.973858 0.735813 0.252627 3.673241 18.373786 0.234059 0.008695 
MP23 85.490827 0.183848 0.215050 0.029036 1169363.289670 1266519.350196 97156.060525 120.080715 187.822622 1.765418 189.588040 34148.172051 29193.554642 0.519925 0.568700 1470.440393 3.667525 998.794968 14.999912 4.154130 0.720145 0.228942 3.678169 18.369971 0.234048 0.007879 
MP24 85.987884 0.185935 0.216234 0.029028 1169232.635610 1266388.318618 97155.683009 120.067185 192.564809 1.763325 194.328133 34134.797743 29351.790315 0.510021 0.568574 1442.348805 3.666508 998.793367 16.000073 3.637575 0.719291 0.233336 3.822417 18.378246 0.229590 0.007877 
MP25 86.247840 0.186207 0.215898 0.029036 1169208.577340 1266363.410687 97154.833347 120.065002 197.097562 1.761297 198.858859 34144.205709 29448.639834 0.500050 0.568746 1414.137631 3.667581 998.794438 16.000073 4.099822 0.718464 0.238060 3.976362 18.372571 0.225101 0.007880 
MP26 86.337494 0.184567 0.213774 0.029029 1169191.361508 1266341.561017 97150.199510 120.062972 201.418177 1.758892 203.177069 34135.166997 29471.447866 0.489805 0.568610 1385.154328 3.666674 998.793883 16.000073 4.540436 0.717483 0.242982 4.144449 18.375462 0.220490 0.007878 
MP27 86.360343 0.182249 0.211033 0.029045 1169287.635470 1266437.814117 97150.178647 120.073743 205.764855 1.765464 207.530319 34157.619585 29498.637491 0.479951 0.568908 1357.349806 3.668762 998.792543 16.999945 3.983836 0.720164 0.248100 4.316342 18.382637 0.216054 0.007882 
MP28 86.530590 0.181300 0.209521 0.029023 1169251.258660 1266399.345018 97148.086358 120.068999 210.403990 1.766451 212.170440 34129.384580 29532.357929 0.470001 0.568472 1329.182540 3.665875 998.792122 18.000106 3.456771 0.720566 0.253158 4.501081 18.384802 0.211575 0.007876 
MP29 86.508692 0.185495 0.214423 0.029016 1169259.880562 1266408.893486 97149.012924 120.069563 214.805284 1.756364 216.561648 34122.339601 29518.789512 0.460258 0.568350 1301.632485 3.665101 998.792349 18.000106 3.905612 0.716452 0.258462 4.693669 18.383621 0.207189 0.007874 
MP30 86.165993 0.180023 0.208926 0.029038 1169178.489978 1266326.538709 97148.048730 120.062238 219.090116 1.749291 220.839407 34145.227138 29421.573982 0.449870 0.568783 1272.215588 3.667782 998.792498 18.000106 4.342577 0.713567 0.264632 4.912895 18.382734 0.202513 0.007880 
MP31 85.986525 0.175944 0.204618 0.029016 1169200.611709 1266347.387887 97146.776178 120.063815 223.411841 1.743834 225.155675 34120.576203 29339.097769 0.440006 0.568363 1244.329043 3.665096 998.789795 18.999977 3.783433 0.711341 0.270364 5.135678 18.396979 0.198072 0.007874 
MP32 85.615614 0.179857 0.210075 0.029041 1169185.898637 1266333.936511 97148.037875 120.063178 227.797070 1.747795 229.544866 34149.581473 29237.373952 0.430097 0.568849 1216.304074 3.668222 998.792336 18.999977 4.230636 0.712957 0.276830 5.374987 18.383598 0.193612 0.007881 
MP33 85.266196 0.175132 0.205394 0.029011 1169257.760184 1266405.528870 97147.768686 120.069583 232.335142 1.730969 234.066111 34116.455513 29089.803882 0.419650 0.568254 1186.789338 3.664482 998.788437 20.000139 3.693264 0.706093 0.283425 5.646026 18.404193 0.188909 0.007873 
MP34 85.689792 0.177845 0.207545 0.026017 1171114.528258 1268263.813185 97149.284927 120.125114 209.417613 1.685722 211.103335 30608.821925 26228.635986 0.419435 0.509477 1186.456974 3.286205 998.788299 16.999945 4.356342 0.687636 0.254239 5.658161 18.407162 0.188812 0.007058 
