MP_Name eta e.eta f.eta Q_A p_Duese_rel p_Duese_abs p_amb H_tot M_Generator M_Lager M_mech P_hyd P_mech ku kcm n_rpm v_ME rho Masse_Aufgelegt Masse_Generator_Sensor Masse_Lager_Sensor phi psi T_Water n_ED Q_ED 
[] [%] [%] [%] [m^3/s] [Pa(r)] [Pa(a)] [Pa(a)] [m] [Nm] [Nm] [Nm] [W] [W] [-] [-] [rpm] [m/s] [kg/m^3] [kg] [kg] [kg] [-] [-] [°C] [-] [-] 
MP01 83.804694 0.163258 0.194808 0.035066 1167179.372015 1263267.610279 96088.238265 120.258740 222.278915 2.290384 224.569299 41271.258565 34587.251949 0.519647 0.686299 1470.743902 4.429200 998.070097 18.999977 3.667898 0.934288 0.276431 3.672449 21.846921 0.233923 0.009508 
MP02 84.089205 0.163745 0.194727 0.035082 1167027.185554 1263117.130622 96089.945068 120.244059 227.388123 2.402466 229.790589 41285.658542 34716.782202 0.509772 0.686664 1442.708562 4.431283 998.070697 18.999977 4.188932 0.980008 0.281936 3.816065 21.844117 0.229478 0.009513 
MP03 84.428835 0.164995 0.195425 0.035050 1167046.435703 1263134.047406 96087.611703 120.244208 232.767285 2.417030 235.184316 41247.780244 34825.020452 0.499634 0.686033 1414.016271 4.427213 998.070527 20.000139 3.737334 0.985949 0.287392 3.972569 21.844884 0.224914 0.009505 
MP04 84.630449 0.161076 0.190329 0.035080 1167088.083134 1263175.591287 96087.508153 120.249892 238.418374 2.424878 240.843252 41284.603220 34939.345207 0.489484 0.686595 1385.324967 4.430946 998.072684 20.000139 4.313629 0.989151 0.293592 4.138963 21.835387 0.220345 0.009512 
MP05 84.887865 0.162420 0.191335 0.035059 1166982.560374 1263071.821449 96089.261075 120.237930 243.866107 2.421911 246.288019 41255.859011 35021.218058 0.479809 0.686219 1357.873598 4.428302 998.072562 21.000010 3.869314 0.987940 0.299348 4.307615 21.835822 0.215990 0.009507 
MP06 84.878068 0.158399 0.186619 0.035060 1166965.953472 1263057.775811 96091.822339 120.236273 249.103764 2.424860 251.528624 41257.406210 35018.489299 0.469779 0.686259 1329.478669 4.428527 998.073078 21.999881 3.403577 0.989143 0.305757 4.493518 21.833527 0.211475 0.009508 
MP07 84.897129 0.163541 0.192635 0.035031 1166824.107667 1262919.357534 96095.249867 120.220214 254.290755 2.417023 256.707778 41217.089000 34992.125284 0.459985 0.685726 1301.675333 4.424795 998.072084 21.999881 3.932543 0.985946 0.312025 4.686963 21.837789 0.207066 0.009500 
MP08 84.628360 0.161132 0.190400 0.035053 1166889.041448 1262984.838436 96095.796988 120.228186 259.479281 2.419791 261.899072 41246.177089 34905.963166 0.449742 0.686143 1272.732248 4.427626 998.071589 23.000042 3.461505 0.987076 0.319325 4.902833 21.840045 0.202455 0.009506 
MP09 84.314748 0.158839 0.188388 0.035081 1166938.744784 1263035.207167 96096.462383 120.234663 264.628343 2.420287 267.048630 41281.379230 34806.290945 0.439798 0.686671 1244.625728 4.431159 998.073237 23.000042 3.986603 0.987278 0.326797 5.126978 21.832804 0.197979 0.009513 
MP10 84.120469 0.157897 0.187704 0.035038 1166915.496828 1263009.842286 96094.345458 120.229635 269.835242 2.421805 272.257047 41228.345574 34681.477660 0.429847 0.685831 1216.437626 4.425645 998.074598 23.999914 3.517728 0.987897 0.333953 5.367228 21.826755 0.193499 0.009502 
MP11 83.770999 0.151285 0.180594 0.035042 1166912.361961 1263006.712892 96094.350931 120.229675 275.130463 2.425095 277.555559 41232.956311 34541.259246 0.419936 0.685909 1188.391725 4.426144 998.073466 23.999914 4.057731 0.989239 0.341873 5.623541 21.831762 0.189038 0.009503 
MP12 84.305480 0.157036 0.186271 0.032045 1168687.749101 1264783.869052 96096.119951 120.247780 253.536377 2.374488 255.910865 37713.130940 31794.236238 0.419201 0.627216 1186.399769 4.047707 998.071651 21.999881 3.855612 0.968596 0.313168 5.651035 21.841578 0.188707 0.008690 
MP13 84.645683 0.164121 0.193892 0.032093 1168659.561721 1264755.346386 96095.784665 120.247408 248.579853 2.372796 250.952648 37768.496497 31969.401825 0.429839 0.628140 1216.505591 4.053663 998.071253 21.999881 3.350148 0.967905 0.305867 5.374668 21.843308 0.193496 0.008702 
MP14 84.954184 0.166487 0.195972 0.032075 1168648.604869 1264744.485684 96095.880815 120.245473 243.706929 2.359733 246.066662 37747.060712 32067.707518 0.439726 0.627799 1244.475980 4.051431 998.070360 20.499929 4.353162 0.962577 0.298828 5.135741 21.847245 0.197946 0.008698 
MP15 85.180923 0.165608 0.194419 0.032065 1168456.245394 1264551.323886 96095.078492 120.225275 238.839740 2.350123 241.189863 37729.487153 32138.325447 0.449642 0.627665 1272.434908 4.050224 998.070729 20.499929 3.856809 0.958657 0.292175 4.911717 21.845419 0.202410 0.008696 
MP16 85.472208 0.162219 0.189792 0.032060 1168573.928624 1264669.426090 96095.497466 120.237060 234.225375 2.334064 236.559439 37726.447109 32245.627478 0.459952 0.627522 1301.673107 4.049503 998.070247 19.500058 4.386110 0.952106 0.285561 4.694016 21.847669 0.207051 0.008694 
MP17 85.479474 0.164061 0.191930 0.032066 1168599.862803 1264693.532020 96093.669217 120.240061 229.344775 2.320451 231.665226 37734.360142 32255.132405 0.469801 0.627630 1329.564350 4.050252 998.069895 19.500058 3.888389 0.946553 0.279622 4.499244 21.849249 0.211485 0.008695 
MP18 85.494980 0.167121 0.195475 0.032046 1168424.141945 1264515.582059 96091.440115 120.221109 224.425378 2.304061 226.729439 37705.702348 32236.482855 0.479789 0.627302 1357.722831 4.047815 998.069818 18.499896 4.386874 0.939867 0.273658 4.313906 21.849412 0.215981 0.008691 
MP19 85.230907 0.168206 0.197353 0.032067 1168583.694840 1264673.374116 96089.679277 120.238811 219.401725 2.283168 221.684894 37735.223600 32162.073258 0.489538 0.627656 1385.413193 4.050399 998.067041 18.499896 3.874565 0.931345 0.268360 4.143762 21.861841 0.220370 0.008696 
MP20 85.171132 0.171734 0.201634 0.032039 1168588.496076 1264680.460955 96091.964879 120.237954 214.539221 2.262852 216.802073 37701.873778 32111.112867 0.499772 0.627109 1414.370889 4.046852 998.066069 17.500025 4.378560 0.923057 0.262635 3.975841 21.866146 0.224977 0.008688 
MP21 84.941965 0.168778 0.198698 0.032040 1168419.735631 1264513.421513 96093.685882 120.220973 209.734452 2.238922 211.973374 37698.057916 32021.471326 0.509766 0.627179 1442.551584 4.047020 998.064452 17.500025 3.888573 0.913296 0.257515 3.821474 21.873125 0.229475 0.008689 
MP22 84.402938 0.170464 0.201965 0.032055 1168517.214826 1264613.798607 96096.583782 120.231784 204.498883 2.216295 206.715178 37718.844089 31835.812702 0.519679 0.627441 1470.669062 4.048890 998.063792 16.499864 4.354814 0.904066 0.252709 3.677056 21.876145 0.233938 0.008693 
MP23 85.004392 0.178473 0.209957 0.029092 1169762.399875 1265855.210356 96092.810481 120.211541 186.769004 2.144376 188.913380 34226.620127 29094.130387 0.519721 0.569492 1470.665973 3.674637 998.064496 14.500121 4.546474 0.874729 0.229350 3.680987 21.874273 0.233957 0.007890 
MP24 85.627883 0.179129 0.209195 0.029053 1169615.323283 1265703.007502 96087.684219 120.194666 191.537111 2.144817 193.681928 34176.470965 29264.588472 0.509931 0.568778 1442.861693 3.669768 998.064694 15.499993 4.032851 0.874909 0.233460 3.823740 21.873243 0.229550 0.007880 
MP25 85.895791 0.177810 0.207007 0.029079 1169626.389652 1265709.476598 96083.086946 120.197140 196.241421 2.149454 198.390875 34207.068033 29382.431724 0.499827 0.569270 1414.286594 3.672982 998.063523 15.499993 4.512593 0.876800 0.238386 3.979857 21.878418 0.225001 0.007887 
MP26 85.989263 0.176052 0.204738 0.029072 1169627.095696 1265712.581056 96085.485360 120.196960 200.482332 2.138780 202.621112 34198.665517 29407.180393 0.489805 0.569132 1385.926101 3.672088 998.062833 15.499993 4.945079 0.872446 0.243205 4.144410 21.881469 0.220490 0.007885 
MP27 86.111049 0.171134 0.198737 0.029082 1169523.234126 1265610.256414 96087.022288 120.186962 205.065158 2.134936 207.200094 34208.296634 29457.123190 0.479814 0.569364 1357.599799 3.673431 998.061905 16.499864 4.412562 0.870878 0.248370 4.318781 21.885463 0.215992 0.007888 
MP28 86.155178 0.170685 0.198114 0.029076 1169568.532839 1265656.967900 96088.435061 120.191466 209.557896 2.124808 211.682704 34201.696603 29466.532715 0.469794 0.569223 1329.275631 3.672590 998.060311 17.500025 3.870568 0.866747 0.253604 4.504973 21.892549 0.211482 0.007886 
MP29 86.138885 0.170769 0.198248 0.029080 1169406.954373 1265497.766244 96090.811870 120.174974 214.083376 2.111782 216.195157 34202.271135 29461.454955 0.459941 0.569348 1301.306537 3.673150 998.061914 17.500025 4.332074 0.861433 0.259094 4.700048 21.885315 0.207046 0.007888 
MP30 85.932512 0.171137 0.199153 0.029076 1169606.024174 1265698.640087 96092.615913 120.194914 218.434498 2.108125 220.542623 34203.086106 29391.570919 0.449768 0.569219 1272.628503 3.672622 998.063606 17.500025 4.775799 0.859941 0.264895 4.915090 21.878046 0.202467 0.007886 
MP31 85.627904 0.169155 0.197546 0.029069 1169475.012222 1265570.931460 96095.919237 120.181917 222.520066 2.093105 224.613171 34191.102205 29277.124014 0.439921 0.569116 1244.699672 3.671754 998.057645 18.499896 4.192571 0.853814 0.270775 5.137591 21.904233 0.198034 0.007885 
MP32 85.312972 0.168132 0.197077 0.029079 1169443.002521 1265537.017710 96094.015189 120.179267 226.940617 2.092500 229.033117 34201.421590 29178.249172 0.429979 0.569307 1216.556621 3.672949 998.056195 18.499896 4.643377 0.853568 0.277129 5.377901 21.910595 0.193559 0.007887 
MP33 84.781978 0.171113 0.201827 0.029092 1169350.023499 1265444.290196 96094.266697 120.170512 231.241000 2.079525 233.320525 34214.963794 29008.123237 0.419632 0.569595 1187.238766 3.674674 998.055370 19.500058 4.081765 0.848275 0.284106 5.646341 21.914138 0.188901 0.007891 
