MP_Name eta e.eta f.eta Q_A p_Duese_rel p_Duese_abs p_amb H_tot M_Generator M_Lager M_mech P_hyd P_mech ku kcm n_rpm v_ME rho Masse_Aufgelegt Masse_Generator_Sensor Masse_Lager_Sensor phi psi T_Water n_ED Q_ED 
[] [%] [%] [%] [m^3/s] [Pa(r)] [Pa(a)] [Pa(a)] [m] [Nm] [Nm] [Nm] [W] [W] [-] [-] [rpm] [m/s] [kg/m^3] [kg] [kg] [kg] [-] [-] [°C] [-] [-] 
MP01 82.971840 0.160404 0.193323 0.035002 1167074.043451 1263975.870507 96901.827056 120.227245 219.630381 2.350846 221.981227 41191.263335 34177.148922 0.519540 0.685140 1470.249245 4.421139 998.213200 18.000106 4.397673 0.958952 0.276021 3.674062 21.206415 0.233875 0.009492 
MP02 83.262124 0.158787 0.190708 0.035038 1167022.324591 1263922.442775 96900.118184 120.225320 224.993405 2.340307 227.333712 41232.124338 34330.742455 0.509592 0.685844 1442.084584 4.425645 998.202095 18.000106 4.944591 0.954652 0.281699 3.818850 21.256861 0.229397 0.009502 
MP03 83.573260 0.161976 0.193813 0.035036 1166850.536263 1263751.253477 96900.717214 120.206490 230.247560 2.342698 232.590257 41223.696331 34451.986794 0.499873 0.685858 1414.471283 4.425390 998.211846 18.999977 4.480536 0.955628 0.287182 3.968785 21.212344 0.225022 0.009502 
MP04 83.823862 0.161788 0.193010 0.035012 1166907.052368 1263806.182802 96899.130434 120.210971 235.743359 2.326593 238.069952 41197.670882 34533.478608 0.489513 0.685387 1385.182913 4.422433 998.211500 18.999977 5.040994 0.949058 0.293058 4.138594 21.213975 0.220358 0.009496 
MP05 83.884684 0.164709 0.196352 0.035053 1166745.557358 1263644.091680 96898.534322 120.196617 241.088374 2.289768 243.378142 41240.412490 34594.389680 0.479710 0.686220 1357.361367 4.427543 998.212850 20.000139 4.585914 0.934037 0.299410 4.309386 21.207662 0.215945 0.009507 
MP06 83.989934 0.159658 0.190092 0.035034 1166748.875094 1263645.227139 96896.352046 120.196696 246.376787 2.282844 248.659631 41218.063686 34619.024665 0.469855 0.685852 1329.477295 4.425171 998.206065 21.000010 4.125352 0.931213 0.305526 4.492093 21.238531 0.211509 0.009502 
MP07 83.852893 0.165837 0.197772 0.035036 1166652.386415 1263546.391727 96894.005312 120.186507 251.335154 2.251466 253.586621 41217.863900 34562.371169 0.459992 0.685933 1301.513196 4.425507 998.210111 21.000010 4.631003 0.918413 0.312114 4.686792 21.220021 0.207069 0.009503 
MP08 83.660586 0.158160 0.189050 0.035068 1166673.696324 1263568.602267 96894.905943 120.190742 256.759761 2.249114 259.008875 41256.225819 34515.200482 0.449740 0.686537 1272.527383 4.429480 998.207895 21.999881 4.184331 0.917453 0.319510 4.902837 21.230126 0.202454 0.009512 
MP09 83.558911 0.151825 0.181698 0.035030 1166632.637302 1263525.762413 96893.125111 120.184492 262.002383 2.243233 264.245617 41208.991511 34433.784442 0.439798 0.685805 1244.366602 4.424643 998.206822 21.999881 4.718970 0.915055 0.326384 5.127082 21.234961 0.197979 0.009501 
