MP_Name eta e.eta f.eta Q_A p_Duese_rel p_Duese_abs p_amb H_tot M_Generator M_Lager M_mech P_hyd P_mech ku kcm n_rpm v_ME rho Masse_Aufgelegt Masse_Generator_Sensor Masse_Lager_Sensor phi psi T_Water n_ED Q_ED 
[] [%] [%] [%] [m^3/s] [Pa(r)] [Pa(a)] [Pa(a)] [m] [Nm] [Nm] [Nm] [W] [W] [-] [-] [rpm] [m/s] [kg/m^3] [kg] [kg] [kg] [-] [-] [°C] [-] [-] 
MP01 83.532643 0.161927 0.193849 0.035056 1167204.393337 1263692.854906 96488.461569 120.246749 221.498794 2.331009 223.829802 41260.820120 34466.253643 0.519566 0.686148 1470.440820 4.428001 998.187320 18.499896 4.088423 0.950860 0.276414 3.673611 21.323212 0.233887 0.009506 
MP02 83.871469 0.160073 0.190856 0.035052 1167152.248688 1263654.717660 96502.468972 120.241435 226.791929 2.330582 229.122511 41254.095590 34600.415915 0.509551 0.686083 1442.065350 4.427484 998.185256 18.499896 4.628213 0.950686 0.281820 3.819441 21.332531 0.229378 0.009505 
MP03 84.214194 0.164285 0.195079 0.035040 1167068.330693 1263580.732139 96512.401446 120.232255 232.094783 2.335213 234.429996 41236.174325 34726.712009 0.499851 0.685864 1414.561611 4.425903 998.184361 19.500058 4.168833 0.952575 0.287196 3.969128 21.336517 0.225012 0.009502 
MP04 84.405719 0.159961 0.189515 0.035050 1167215.701481 1263728.501711 96512.800230 120.247644 237.657658 2.335577 239.993235 41254.328215 34821.012500 0.489559 0.686032 1385.523123 4.427274 998.186751 19.500058 4.736132 0.952723 0.293307 4.137758 21.325851 0.220379 0.009505 
MP05 84.598621 0.158852 0.187771 0.035017 1167125.340655 1263639.018373 96513.677718 120.236200 242.986710 2.332664 245.319373 41210.770436 34863.743329 0.479541 0.685404 1357.105315 4.423010 998.189162 20.499929 4.279715 0.951535 0.299160 4.312518 21.314840 0.215869 0.009496 
MP06 84.511725 0.156798 0.185533 0.035071 1167156.996871 1263677.585182 96520.588311 120.242475 248.307354 2.332136 250.639489 41276.808133 34883.742777 0.469619 0.686449 1329.061141 4.429864 998.189612 21.500091 3.822149 0.951319 0.305946 4.496553 21.312849 0.211403 0.009510 
MP07 84.479601 0.157557 0.186503 0.035048 1167045.908601 1263585.475270 96539.566669 120.229692 253.384948 2.325480 255.710428 41246.000191 34844.456463 0.459812 0.686045 1301.237698 4.427023 998.190867 21.500091 4.339959 0.948605 0.312287 4.690449 21.307085 0.206988 0.009505 
MP08 84.318009 0.155723 0.184685 0.035032 1167035.158678 1263578.390516 96543.231837 120.227784 258.585417 2.321986 260.907403 41226.060506 34760.993555 0.449577 0.685730 1272.263773 4.424957 998.189845 22.499962 3.870429 0.947179 0.319250 4.906478 21.311714 0.202381 0.009500 
MP09 84.130933 0.153772 0.182777 0.035047 1166896.997055 1263445.781136 96548.784081 120.214639 263.884507 2.316904 266.201411 41238.440442 34694.284745 0.439815 0.686049 1244.568968 4.426776 998.188593 22.499962 4.410827 0.945106 0.326488 5.126670 21.317252 0.197986 0.009505 
MP10 83.820181 0.156832 0.187105 0.035066 1167006.307764 1263560.262791 96553.955027 120.226887 269.232979 2.318097 271.551076 41265.140462 34588.515564 0.429814 0.686389 1216.331008 4.429190 998.188678 23.500123 3.956100 0.945593 0.334250 5.367974 21.316991 0.193484 0.009510 
MP11 83.500435 0.162980 0.195184 0.035064 1166895.310422 1263457.266037 96561.955615 120.215737 274.496582 2.310713 276.807296 41259.711605 34452.038542 0.420008 0.686395 1188.526239 4.429028 998.186473 23.500123 4.492879 0.942581 0.342057 5.621549 21.326879 0.189070 0.009510 
MP12 84.233488 0.161093 0.191245 0.032025 1168673.013636 1265248.183152 96575.169516 120.231448 252.964962 2.250605 255.215566 37687.701660 31745.665545 0.419729 0.626849 1187.814599 4.045062 998.186466 21.500091 4.297129 0.918061 0.312590 5.636862 21.328768 0.188945 0.008685 
MP13 84.489437 0.162988 0.192910 0.032052 1168678.521621 1265256.950691 96578.429070 120.233285 247.937639 2.252318 250.189957 37720.170555 31869.559782 0.429828 0.627373 1216.403258 4.048480 998.187601 21.500091 3.784446 0.918760 0.305502 5.375033 21.323641 0.193491 0.008692 
MP14 84.892764 0.165656 0.195135 0.032029 1168694.861772 1265275.666851 96580.805079 120.234143 243.275071 2.239802 245.514873 37693.836748 31999.339902 0.439795 0.626931 1244.613752 4.045637 998.184579 20.499929 4.309122 0.913655 0.298367 5.134220 21.337342 0.197977 0.008686 
MP15 85.102423 0.163524 0.192149 0.032017 1168765.451509 1265349.603067 96584.151558 120.240819 238.452824 2.234980 240.687803 37681.318396 32067.715109 0.449561 0.626671 1272.287662 4.044073 998.183665 20.499929 3.817352 0.911688 0.291765 4.913598 21.341558 0.202374 0.008682 
MP16 85.196485 0.163527 0.191941 0.032029 1168660.513654 1265244.557790 96584.044136 120.230547 233.527781 2.220537 235.748318 37693.185712 32113.269473 0.459652 0.626947 1300.790339 4.045684 998.185469 19.500058 4.314970 0.905796 0.285485 4.700195 21.333288 0.206916 0.008686 
MP17 85.276713 0.163261 0.191448 0.032044 1168639.012473 1265225.381325 96586.368853 120.229408 228.787217 2.211462 230.998679 37709.498789 32157.421035 0.469751 0.627229 1329.361503 4.047484 998.182839 19.500058 3.831530 0.902095 0.279474 4.500258 21.345169 0.211462 0.008690 
MP18 85.256450 0.166307 0.195066 0.032035 1168680.032504 1265266.573147 96586.540643 120.233106 223.917481 2.197240 226.114721 37700.371170 32141.998223 0.479659 0.627048 1357.423667 4.046379 998.183143 18.499896 4.335079 0.896293 0.273622 4.316263 21.343835 0.215923 0.008687 
MP19 85.079450 0.166138 0.195275 0.032044 1168636.487933 1265223.822871 96587.334938 120.229150 218.956917 2.185307 221.142224 37709.400020 32082.950037 0.489552 0.627230 1385.396238 4.047483 998.182833 18.499896 3.829204 0.891425 0.268170 4.143570 21.345198 0.220376 0.008690 
MP20 84.874905 0.168166 0.198134 0.032050 1168506.249015 1265088.663575 96582.414560 120.216123 213.906953 2.165522 216.072475 37712.377364 32008.344329 0.499900 0.627381 1414.604860 4.048240 998.183115 17.500025 4.314082 0.883355 0.262682 3.973781 21.343776 0.225034 0.008692 
MP21 84.695949 0.168137 0.198518 0.032052 1168600.779465 1265182.814561 96582.035097 120.225835 209.361093 2.128347 211.489441 37717.756075 31945.411537 0.509708 0.627394 1442.418156 4.048488 998.183519 17.500025 3.850498 0.868191 0.257633 3.822318 21.342046 0.229449 0.008692 
MP22 84.293140 0.164883 0.195607 0.032039 1168556.959903 1265137.197463 96580.237559 120.220905 204.301993 2.095949 206.397943 37701.662880 31779.915652 0.519587 0.627166 1470.343337 4.046933 998.181941 16.499864 4.334735 0.854975 0.252643 3.678375 21.349134 0.233896 0.008689 
MP23 85.128364 0.178022 0.209122 0.029046 1169771.922851 1266347.878767 96575.955917 120.196329 186.924297 2.010407 188.934704 34172.786744 29090.734178 0.519635 0.568638 1470.328333 3.668891 998.181695 14.500121 4.562310 0.820081 0.229044 3.682276 21.351487 0.233918 0.007878 
MP24 85.445828 0.178181 0.208531 0.029062 1169765.725598 1266341.864994 96576.139396 120.196220 191.433807 2.000201 193.434009 34190.752631 29214.571742 0.509709 0.568937 1442.241786 3.670817 998.183333 15.499993 4.022316 0.815918 0.233627 3.827065 21.344074 0.229450 0.007882 
MP25 85.656035 0.174813 0.204087 0.029087 1169742.007861 1266315.477457 96573.469596 120.194757 195.917747 1.998507 197.916254 34220.641934 29312.044886 0.499831 0.569443 1414.282077 3.674063 998.185473 15.499993 4.479585 0.815226 0.238457 3.979790 21.334359 0.225003 0.007889 
MP26 85.857468 0.175083 0.203923 0.029056 1169687.473170 1266260.050876 96572.577706 120.187929 200.300276 1.996613 202.296889 34181.935088 29347.744100 0.489617 0.568849 1385.341680 3.670123 998.183641 15.499993 4.926513 0.814454 0.243177 4.147620 21.342590 0.220405 0.007881 
MP27 85.991861 0.174313 0.202709 0.029061 1169775.930159 1266349.699565 96573.769405 120.197504 204.769508 1.995320 206.764827 34189.935727 29400.562102 0.479880 0.568915 1357.845485 3.670699 998.180954 16.499864 4.382412 0.813926 0.248140 4.317636 21.354838 0.216022 0.007882 
MP28 85.962677 0.169301 0.196947 0.029080 1169702.816699 1266286.638456 96583.821757 120.191049 209.290070 1.993728 211.283797 34211.291534 29408.942039 0.469762 0.569317 1329.182423 3.673192 998.180271 17.500025 3.843255 0.813277 0.253664 4.505580 21.357873 0.211467 0.007888 
MP29 85.949416 0.170278 0.198114 0.029067 1169651.247547 1266247.192687 96595.945141 120.185251 213.733200 1.986224 215.719423 34193.961720 29389.510495 0.459810 0.569070 1300.991574 3.671511 998.179436 17.500025 4.296363 0.810216 0.259042 4.702753 21.361620 0.206987 0.007884 
MP30 85.775701 0.169240 0.197305 0.029062 1169688.367267 1266294.431899 96606.064632 120.188794 218.073742 1.984097 220.057839 34189.519896 29326.300396 0.449769 0.568971 1272.599703 3.670925 998.179688 17.500025 4.739009 0.809348 0.264779 4.915087 21.360536 0.202467 0.007883 
MP31 85.540244 0.165539 0.193521 0.029040 1169507.558601 1266116.338348 96608.779747 120.169276 222.248634 1.982372 224.231006 34158.006009 29218.841639 0.439817 0.568585 1244.338997 3.668137 998.179703 18.499896 4.164891 0.808645 0.270586 5.140084 21.360289 0.197987 0.007877 
MP32 85.284355 0.172202 0.201915 0.029053 1169551.656679 1266163.754162 96612.097483 120.174605 226.806830 1.982545 228.789376 34174.563308 29145.555877 0.429963 0.568824 1216.488119 3.669759 998.177896 18.499896 4.629733 0.808715 0.276904 5.378350 21.368508 0.193551 0.007881 
MP33 84.811895 0.162322 0.191390 0.029060 1169590.294352 1266205.278427 96614.984075 120.178981 231.201706 1.976476 233.178182 34183.517590 28991.689115 0.419636 0.568942 1187.290487 3.670591 998.176916 19.500058 4.077758 0.806240 0.283778 5.646322 21.372984 0.188902 0.007882 
MP34 85.372234 0.171630 0.201037 0.026089 1170828.537198 1267440.433002 96611.895804 120.172160 208.570292 1.919493 210.489785 30686.602489 26197.838231 0.420081 0.510784 1188.518139 3.295282 998.177100 16.499864 4.770014 0.782995 0.254499 5.640628 21.373416 0.189103 0.007077 
MP35 85.785583 0.175324 0.204375 0.026058 1170761.410409 1267368.886047 96607.475638 120.164094 204.436072 1.927841 206.363912 30648.358539 26291.873145 0.430033 0.510199 1216.631783 3.291399 998.176295 16.499864 4.348408 0.786400 0.248325 5.382651 21.376977 0.193583 0.007069 
MP36 86.014538 0.177289 0.206115 0.026064 1170881.674573 1267485.930693 96604.256120 120.176769 200.456384 1.921111 202.377496 30659.009099 26371.205010 0.439803 0.510296 1244.340222 3.292198 998.175299 16.499864 3.942562 0.783655 0.242854 5.146136 21.381591 0.197981 0.007070 
MP37 86.185073 0.176266 0.204520 0.026063 1170827.182228 1267429.039184 96601.856956 120.170909 196.410022 1.916662 198.326683 30656.454859 26421.288125 0.449650 0.510290 1272.167276 3.292078 998.177400 15.499993 4.529787 0.781840 0.237534 4.923228 21.372041 0.202413 0.007070 
MP38 86.466463 0.185194 0.214181 0.026063 1170969.221804 1267566.980698 96597.758894 120.185234 192.643040 1.904909 194.547949 30660.223206 26510.810667 0.459909 0.510261 1301.270947 3.292085 998.178978 15.499993 4.145633 0.777046 0.232221 4.706033 21.365048 0.207032 0.007069 
MP39 86.445643 0.178654 0.206666 0.026076 1170845.055028 1267440.181391 96595.126363 120.174083 188.588279 1.904405 190.492684 30672.444691 26514.991889 0.469795 0.510539 1329.182392 3.293730 998.170782 14.500121 4.732002 0.776840 0.227459 4.510023 21.401926 0.211482 0.007073 
